eixo;altura_m;cota_NA_m;area_alagada_km2;volume_hm3
E03;10;81,5;0,61;2,5
E03;15;86,5;0,9;6,3
E03;20;91,5;1,19;11,5
E03;25;96,5;1,71;18,6
E03;30;101,5;2,14;28,2
E03;35;106,5;2,83;40,6
E03;40;111,5;3,41;56,3
E03;45;116,5;4,0;74,7
E03;50;121,5;4,61;96,3
E03;55;126,5;5,3;121,1
E03;60;131,5;5,94;149,2
E03;65;136,5;6,71;180,8
E03;70;141,5;7,6;216,5
E03;75;146,5;8,52;256,7
E03;80;151,5;9,47;301,7
E03;85;156,5;10,42;351,4
E03;90;161,5;11,39;406,0
E03;95;166,5;12,42;465,5
E03;100;171,5;13,45;530,2
E03;105;176,5;14,43;599,9
E03;110;181,5;16,28;675,1
E03;115;186,5;17,52;759,7
E03;120;191,5;18,7;850,3
E02;10;32,5;1,64;5,2
E02;15;37,5;4,82;21,0
E02;20;42,5;9,97;58,7
E02;25;47,5;15,52;122,8
E02;30;52,5;21,57;215,3
E02;35;57,5;27,46;338,0
E02;40;62,5;32,85;489,4
E02;45;67,5;37,02;664,4
E02;50;72,5;41,13;860,3
E02;55;77,5;44,98;1075,6
E02;60;82,5;48,7;1310,1
E02;65;87,5;52,4;1562,7
E02;70;92,5;55,85;1833,5
E02;75;97,5;59,07;2120,7
E02;80;102,5;62,4;2424,3
E02;85;107,5;65,92;2745,2
E02;90;112,5;69,65;3084,6
E02;95;117,5;73,38;3442,0
E02;100;122,5;77,3;3818,9
E02;105;127,5;81,21;4215,3
E02;110;132,5;84,94;4630,8
E02;115;137,5;88,64;5065,2
E02;120;142,5;92,41;5518,0
E06;10;249,0;3,68;27,8
E06;15;254,0;4,72;48,4
E06;20;259,0;5,64;74,4
E06;25;264,0;6,87;105,5
E06;30;269,0;7,93;142,6
E06;35;274,0;8,86;184,6
E06;40;279,0;10,26;233,0
E06;45;284,0;11,6;287,6
E06;50;289,0;13,18;349,4
E06;55;294,0;14,62;418,9
E06;60;299,0;16,35;496,6
E06;65;304,0;18,08;583,1
E06;70;309,0;19,91;678,6
E06;75;314,0;21,73;783,1
E06;80;319,0;23,59;896,4
E06;85;324,0;25,6;1019,2
E06;90;329,0;27,78;1152,9
E06;95;334,0;30,08;1298,1
E06;100;339,0;32,28;1454,1
E06;105;344,0;34,55;1621,5
E06;110;349,0;36,86;1799,8
E06;115;354,0;39,34;1990,4
E06;120;359,0;42,11;2194,0
E04;10;303,0;1,26;7,8
E04;15;308,0;1,6;15,1
E04;20;313,0;2,15;24,4
E04;25;318,0;2,69;36,5
E04;30;323,0;3,27;51,4
E04;35;328,0;3,89;69,5
E04;40;333,0;4,59;90,8
E04;45;338,0;5,3;115,5
E04;50;343,0;6,15;144,1
E04;55;348,0;7,22;177,5
E04;60;353,0;8,55;217,0
E04;65;358,0;10,14;263,7
E04;70;363,0;11,91;319,1
E04;75;368,0;13,54;382,8
E04;80;373,0;15,25;454,9
E04;85;378,0;16,94;535,3
E04;90;383,0;18,9;625,1
E04;95;388,0;20,67;724,1
E04;100;393,0;22,45;832,0
E04;105;398,0;24,42;949,5
E04;110;403,0;26,47;1076,7
E04;115;408,0;28,51;1214,3
E04;120;413,0;30,58;1362,4
E07;10;178,5;0,32;1,9
E07;15;183,5;0,42;3,7
E07;20;188,5;0,59;6,2
E07;25;193,5;0,95;9,9
E07;30;198,5;1,17;15,3
E07;35;203,5;1,4;21,8
E07;40;208,5;1,62;29,4
E07;45;213,5;1,83;38,0
E07;50;218,5;2,08;47,8
E07;55;223,5;2,32;58,9
E07;60;228,5;2,62;71,4
E07;65;233,5;2,88;85,1
E07;70;238,5;3,78;101,1
E07;75;243,5;9,2;139,6
E07;80;248,5;10,42;188,6
E07;85;253,5;11,99;244,2
