eixo;variavel;grau;rmse;erro_max;erro_rel_medio_pct;erro_rel_max_pct;erro_rel_alturas_ate_40m_pct;erro_rel_alturas_acima_80m_pct;monotono;produz_negativo;valor_min_no_intervalo
E01;area;2;0,1456;0,4313;2,15;12,34;12,34;3,02;True;False;0,61
E01;area;3;0,1301;0,3968;2,62;21,85;21,85;2,78;True;False;0,477
E01;area;4;0,1236;0,3458;1,83;9,02;9,02;2,42;True;False;0,555
E01;volume;2;8,3405;18,5874;38,14;626,49;626,49;2,54;False;False;12,111
E01;volume;3;0,7401;1,9334;1,95;24,13;24,13;0,29;True;False;1,973
E01;volume;4;0,5275;1,5025;1,22;14,54;14,54;0,22;True;False;2,978
E02;area;2;0,3248;0,5818;3,72;9,55;9,55;2,76;True;False;1,185
E02;area;3;0,2217;0,4249;4,3;27,34;27,34;1,28;True;False;1,668
E02;area;4;0,1683;0,3093;2,23;5,99;5,99;1,39;True;False;1,388
E02;volume;2;19,3403;41,0891;36,01;501,09;501,09;4,15;False;False;26,206
E02;volume;3;2,8155;5,0984;2,68;25,95;25,95;0,47;True;False;10,328
E02;volume;4;1,4499;2,6754;2,77;31,06;31,06;0,14;True;False;5,653
E03;area;2;0,1045;0,3619;2,99;14,23;14,23;6,46;True;False;0,223
E03;area;3;0,1029;0,3451;3,6;28,43;28,43;6,16;True;False;0,186
E03;area;4;0,096;0,2982;1,59;5,32;1,84;5,32;True;False;0,258
E03;volume;2;3,5312;7,8435;28,57;425,32;425,32;2,18;False;False;5,438
E03;volume;3;0,4968;1,3666;0,93;6,57;6,57;0,57;True;False;1,812
E03;volume;4;0,4824;1,2171;1,65;20,12;20,12;0,57;True;False;2,042
E04;area;2;0,0922;0,1819;0,65;2,61;2,61;0,49;True;False;3,836
E04;area;3;0,0897;0,1932;0,66;3,17;3,17;0,41;True;False;3,879
E04;area;4;0,0887;0,1766;0,64;2,53;2,53;0,37;True;False;3,854
E04;volume;2;15,0394;30,9691;8,67;109,05;109,05;1,65;True;False;59,369
E04;volume;3;0,6179;1,0902;0,23;1,31;1,31;0,06;True;False;28,772
E04;volume;4;0,4338;0,7644;0,22;1,69;1,69;0,07;True;False;27,919
E05;area;2;1,013;2,649;31,12;146,25;146,25;11,71;False;False;0,368
E05;area;3;0,9886;2,7249;41,03;278,56;278,56;9,7;False;False;0,248
E05;area;4;0,7947;2,1075;20,42;59,37;56,45;12,11;True;False;0,148
E05;volume;2;30,4649;56,9435;227,77;3349,62;3349,62;19,97;False;True;-13,447
E05;volume;3;7,0294;15,8677;22,03;200,91;200,91;4,63;True;True;-1,715
E05;volume;4;6,5511;13,8264;37,94;491,28;491,28;4,04;True;True;-6,652
E06;area;2;0,9723;2,7887;19,46;137,32;137,32;32,2;False;False;1,846
E06;area;3;0,8035;2,1806;7,69;25,18;19,97;25,18;True;False;1,14
E06;area;4;0,7084;2,2017;10,86;57,35;57,35;25,42;True;False;0,405
E06;volume;2;27,6341;59,743;48,41;620,51;620,51;12,56;False;False;24,495
E06;volume;3;8,4361;17,6901;15,87;203,84;203,84;4,53;True;True;-6,75
E06;volume;4;4,7008;13,8229;2,01;7,75;7,75;3,54;True;False;6,818
E07;area;2;0,9743;2,7863;16,22;103,89;103,89;29,3;False;False;2,269
E07;area;3;0,8015;2,171;6,71;22,83;15,05;22,83;True;False;1,461
E07;area;4;0,7066;2,192;9,16;42,63;42,63;23,05;True;False;0,729
