eixo;altura_m;usina_montante;Ef_novo_MWmed;perda_montante_MWmed;Ef_liquido_MWmed;razao_perda_ganho;volume_hm3;VETO
E05;10;Castro Alves;10,1;0,0;10,1;0,0;1,7;False
E05;20;Castro Alves;20,2;0,0;20,2;0,0;6,0;False
E05;30;Castro Alves;30,3;8,76;21,6;0,289;14,7;False
E05;40;Castro Alves;40,4;17,56;22,9;0,434;28,7;False
E05;50;Castro Alves;50,5;26,36;24,2;0,522;47,3;False
E05;60;Castro Alves;60,6;35,16;25,5;0,58;71,0;False
E05;80;Castro Alves;80,8;46,61;34,2;0,577;178,9;True
E05;100;Castro Alves;101,1;46,61;54,4;0,461;445,0;True
E05;120;Castro Alves;121,3;46,61;74,7;0,384;853,5;True
E06;10;Castro Alves;10,4;0,0;10,4;0,0;6,5;False
E06;20;Castro Alves;20,8;0,0;20,8;0,0;20,0;False
E06;30;Castro Alves;31,2;0,0;31,2;0,0;41,9;False
E06;40;Castro Alves;41,6;2,16;39,5;0,052;71,6;False
E06;50;Castro Alves;52,0;10,96;41,1;0,211;112,0;False
E06;60;Castro Alves;62,4;19,76;42,7;0,316;163,6;False
E06;80;Castro Alves;83,2;37,36;45,9;0,449;300,6;False
E06;100;Castro Alves;104,1;46,61;57,5;0,448;545,7;True
E06;120;Castro Alves;124,9;46,61;78,3;0,373;970,5;True
E07;10;Castro Alves;10,4;0,0;10,4;0,0;9,3;False
E07;20;Castro Alves;20,8;0,0;20,8;0,0;26,4;False
E07;30;Castro Alves;31,3;0,0;31,3;0,0;52,9;False
E07;40;Castro Alves;41,7;2,16;39,5;0,052;87,7;False
E07;50;Castro Alves;52,1;10,96;41,2;0,21;134,1;False
E07;60;Castro Alves;62,5;19,76;42,8;0,316;192,2;False
E07;80;Castro Alves;83,4;37,36;46,0;0,448;344,2;False
E07;100;Castro Alves;104,2;46,61;57,6;0,447;606,9;True
E07;120;Castro Alves;125,1;46,61;78,5;0,373;1051,7;True
E03;10;Castro Alves;4,8;0,0;4,8;0,0;1,7;False
E03;20;Castro Alves;9,6;0,0;9,6;0,0;5,3;False
E03;30;Castro Alves;14,4;0,0;14,4;0,0;12,3;False
E03;40;Castro Alves;19,2;2,16;17,1;0,112;23,8;False
E03;50;Castro Alves;24,1;10,96;13,1;0,456;41,2;False
E03;60;Castro Alves;28,9;19,76;9,1;0,685;63,8;False
E03;80;Castro Alves;38,5;37,36;1,1;0,971;131,5;False
E03;100;Castro Alves;48,1;46,61;1,5;0,969;230,4;True
E03;120;Castro Alves;57,7;46,61;11,1;0,807;370,9;True
E08;10;Castro Alves;15,2;0,0;15,2;0,0;13,5;False
E08;20;Castro Alves;30,5;0,0;30,5;0,0;39,1;False
E08;30;Castro Alves;45,7;0,0;45,7;0,0;78,3;False
E08;40;Castro Alves;61,0;0,84;60,1;0,014;131,7;False
E08;50;Castro Alves;76,2;9,64;66,6;0,126;202,9;False
E08;60;Castro Alves;91,5;18,44;73,0;0,202;292,5;False
E08;80;Castro Alves;121,9;36,04;85,9;0,296;531,6;False
E08;100;Castro Alves;152,4;46,61;105,8;0,306;906,9;True
E08;120;Castro Alves;182,9;46,61;136,3;0,255;1509,8;True
E09;10;Monte Claro;15,7;0,0;15,7;0,0;14,6;False
E09;20;Monte Claro;31,5;13,87;17,6;0,441;42,7;False
E09;30;Monte Claro;47,2;29,07;18,1;0,616;84,5;False
E09;40;Monte Claro;62,9;44,28;18,6;0,704;142,0;False
E09;50;Monte Claro;78,6;47,32;31,3;0,602;224,8;True
E09;60;Monte Claro;94,4;47,32;47,0;0,501;334,5;True
E09;80;Monte Claro;125,8;47,32;78,5;0,376;638,7;True
E09;100;Monte Claro;157,3;47,32;109,9;0,301;1074,9;True
E09;120;Monte Claro;188,7;47,32;141,4;0,251;1657,0;True
E10;10;14 de Julho;16,3;33,65;-17,4;2,065;11,2;False
E10;20;14 de Julho;32,6;51,24;-18,6;1,572;33,1;False
E10;30;14 de Julho;48,9;68,83;-19,9;1,408;64,3;False
E10;40;14 de Julho;65,2;73,23;-8,0;1,123;154,6;True
E10;50;14 de Julho;81,5;73,23;8,3;0,899;309,2;True
E10;60;14 de Julho;97,8;73,23;24,6;0,749;501,0;True
E10;80;14 de Julho;130,4;73,23;57,2;0,562;1001,9;True
E10;100;14 de Julho;163,0;73,23;89,7;0,449;1702,5;True
E10;120;14 de Julho;195,6;73,23;122,3;0,374;2627,6;True
E11;10;14 de Julho;19,7;9,02;10,7;0,458;17,5;False
E11;20;14 de Julho;39,4;26,61;12,8;0,675;76,9;False
E11;30;14 de Julho;59,1;44,21;14,9;0,748;179,9;False
E11;40;14 de Julho;78,9;61,8;17,1;0,784;318,4;False
E11;50;14 de Julho;98,6;73,23;25,3;0,743;508,4;True
E11;60;14 de Julho;118,3;73,23;45,1;0,619;812,3;True
E11;80;14 de Julho;157,7;73,23;84,5;0,464;1618,9;True
E11;100;14 de Julho;197,1;73,23;123,9;0,371;2716,4;True
E11;120;14 de Julho;236,6;73,23;163,3;0,31;4158,8;True
E12;10;14 de Julho;20,1;0,0;20,1;0,0;20,0;False
E12;20;14 de Julho;40,2;8,14;32,1;0,202;92,3;False
E12;30;14 de Julho;60,3;25,74;34,6;0,427;256,5;False
E12;40;14 de Julho;80,4;43,33;37,1;0,539;494,5;False
E12;50;14 de Julho;100,5;60,92;39,6;0,606;790,1;False
E12;60;14 de Julho;120,6;73,23;47,4;0,607;1153,1;True
E12;80;14 de Julho;160,8;73,23;87,6;0,455;2236,1;True
