t_h;Q_natural;Q_com_alternativa;alternativa;regra
0,0;600,0;113,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
1,0;602,1;390,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
2,0;615,7;607,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
3,0;650,1;627,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
4,0;712,4;670,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
5,0;807,7;741,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
6,0;939,6;846,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
7,0;1110,2;988,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
8,0;1320,6;1168,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
9,0;1570,8;1388,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
10,0;1860,1;1624,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
11,0;2186,9;1811,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
12,0;2549,3;1952,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
13,0;2945,0;2083,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
14,0;3371,3;2208,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
15,0;3825,1;2342,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
16,0;4303,5;2484,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
17,0;4803,1;2631,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
18,0;5320,9;2793,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
19,0;5853,4;2979,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
20,0;6397,6;3157,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
21,0;6950,3;3262,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
22,0;7508,4;3368,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
23,0;8069,1;3474,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
24,0;8629,6;3580,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
25,0;9187,3;3685,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
26,0;9739,8;3790,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
27,0;10284,6;3893,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
28,0;10819,8;3994,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
29,0;11343,3;4094,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
30,0;11853,4;4272,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
31,0;12348,5;4462,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
32,0;12827,1;4631,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
33,0;13288,0;4788,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
34,0;13730,0;4936,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
35,0;14152,1;5075,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
36,0;14553,6;5205,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
37,0;14933,8;5325,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
38,0;15292,1;5438,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
39,0;15628,1;5543,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
40,0;15941,4;5643,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
41,0;16232,0;5736,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
42,0;16499,6;5824,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
43,0;16744,3;5907,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
44,0;16966,3;5984,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
45,0;17165,5;6055,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
46,0;17342,4;6120,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
47,0;17497,2;6180,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
48,0;17630,2;6234,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
49,0;17742,0;6283,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
50,0;17833,0;6328,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
51,0;17903,6;6368,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
52,0;17954,5;6403,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
53,0;17986,3;6434,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
54,0;17999,5;6465,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
55,0;17994,8;6497,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
56,0;17972,9;6529,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
57,0;17934,4;6558,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
58,0;17880,1;6585,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
59,0;17810,5;6607,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
60,0;17726,5;6598,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
61,0;17628,7;6580,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
62,0;17517,7;6559,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
63,0;17394,4;6535,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
64,0;17259,4;6510,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
65,0;17113,4;6482,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
66,0;16957,0;6452,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
67,0;16791,0;6421,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
68,0;16616,0;6388,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
69,0;16432,5;6353,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
70,0;16241,3;6317,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
71,0;16043,0;6279,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
72,0;15838,0;6241,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
73,0;15627,2;6201,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
74,0;15410,8;6160,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
75,0;15189,6;6118,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
76,0;14964,1;6075,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
