q_pico_referencia;alternativa;pico_com;reducao_pct;saturou
10000;ALT-A — E02 + E04 (prioritarios);6577;34,2;False
10000;ALT-J — carteira completa;5136;48,6;True
14000;ALT-A — E02 + E04 (prioritarios);8296;40,7;False
14000;ALT-J — carteira completa;5893;57,9;True
18000;ALT-A — E02 + E04 (prioritarios);10014;44,4;False
18000;ALT-J — carteira completa;6650;63,1;True
22000;ALT-A — E02 + E04 (prioritarios);11733;46,7;False
22000;ALT-J — carteira completa;7408;66,3;True
26000;ALT-A — E02 + E04 (prioritarios);13451;48,3;False
26000;ALT-J — carteira completa;8165;68,6;True
