codigo;nome;tipo;n;inicio;fim;anos;maximo;media;pct_consistido
86870000;Lajeado (antigo);cota;16880;1939-09-28;1986-12-31;47,3;2196,0;325,79;6,5
86870000;Lajeado (antigo);vazao;53;1977-10-01;1977-11-22;0,1;1982,0;1144,19;100,0
86879300;Estrela / Lajeado (atual);cota;1794;2020-11-25;2025-12-31;5,1;3303,5;1325,04;59,3
86879300;Estrela / Lajeado (atual);vazao;1063;2020-11-25;2023-12-31;3,1;17260,9;1231,56;100,0
86510000;Mucum;cota;31440;1940-01-01;2026-03-31;86,2;2611,0;224,53;97,6
86510000;Mucum;vazao;31440;1940-01-01;2026-03-31;86,2;15092,3;366,75;97,6
86720000;Encantado;cota;24642;1941-10-15;2026-01-31;84,3;2314,0;222,88;97,2
86720000;Encantado;vazao;24530;1941-10-15;2026-01-31;84,3;14003,0;464,34;97,5
86560000;Passo Tainhas / Antas;cota;31194;1939-10-21;2026-03-31;86,4;880,0;112,43;98,1
86560000;Passo Tainhas / Antas;vazao;31188;1939-10-21;2026-03-31;86,4;1547,86;50,79;98,1
86440000;Bento Goncalves;cota;25140;1938-11-01;2007-08-30;68,8;848,0;143,04;100,0
86440000;Bento Goncalves;vazao;24714;1940-01-01;2007-08-30;67,7;2762,29;83,05;100,0
