t_h;Q_natural;Q_com_alternativa;alternativa;regra
0,0;926,0;175,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
1,0;927,9;602,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
2,0;940,4;932,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
3,0;971,8;951,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
4,0;1028,6;990,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
5,0;1115,6;1055,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
6,0;1235,7;1150,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
7,0;1391,1;1279,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
8,0;1582,4;1444,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
9,0;1809,8;1626,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
10,0;2072,3;1774,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
11,0;2368,7;1895,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
12,0;2697,0;2011,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
13,0;3055,1;2117,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
14,0;3440,4;2231,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
15,0;3850,2;2352,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
16,0;4281,7;2480,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
17,0;4731,9;2613,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
18,0;5197,9;2761,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
19,0;5676,6;2935,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
20,0;6165,2;3113,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
21,0;6660,9;3207,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
22,0;7160,8;3302,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
23,0;7662,4;3397,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
24,0;8163,1;3492,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
25,0;8660,6;3586,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
26,0;9152,7;3679,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
27,0;9637,4;3771,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
28,0;10112,6;3861,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
29,0;10576,8;3948,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
30,0;11028,3;4057,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
31,0;11465,8;4247,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
32,0;11887,8;4410,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
33,0;12293,5;4558,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
34,0;12681,6;4695,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
35,0;13051,6;4824,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
36,0;13402,5;4944,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
37,0;13733,9;5057,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
38,0;14045,3;5160,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
39,0;14336,4;5258,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
40,0;14607,0;5347,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
41,0;14856,8;5433,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
42,0;15085,9;5512,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
43,0;15294,3;5586,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
44,0;15482,2;5656,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
45,0;15649,6;5721,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
46,0;15796,9;5779,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
47,0;15924,4;5834,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
48,0;16032,5;5882,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
49,0;16121,5;5927,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
50,0;16192,0;5966,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
51,0;16244,4;6001,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
52,0;16279,3;6033,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
53,0;16297,2;6060,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
54,0;16298,7;6084,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
55,0;16284,3;6104,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
56,0;16254,8;6120,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
57,0;16210,7;6137,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
58,0;16152,6;6155,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
59,0;16081,3;6173,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
60,0;15997,2;6189,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
61,0;15901,2;6202,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
62,0;15793,8;6213,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
63,0;15675,6;6210,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
64,0;15547,3;6186,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
65,0;15409,5;6159,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
66,0;15262,9;6132,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
67,0;15107,9;6102,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
68,0;14945,3;6072,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
69,0;14775,5;6039,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
70,0;14599,1;6006,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
71,0;14416,8;5972,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
72,0;14228,9;5936,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
73,0;14036,1;5899,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
74,0;13838,8;5862,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
75,0;13637,5;5824,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
76,0;13432,7;5785,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
77,0;13224,8;5746,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
78,0;13014,2;5706,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
79,0;12801,3;5666,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
80,0;12586,7;5625,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
81,0;12370,5;5584,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
82,0;12153,2;5543,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
83,0;11935,1;5502,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
84,0;11716,5;5460,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
85,0;11497,8;5419,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
86,0;11279,2;5378,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
87,0;11061,1;5336,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
88,0;10843,5;5295,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
89,0;10626,9;5254,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
90,0;10411,5;5213,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
91,0;10197,4;5173,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
92,0;9984,8;5133,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
93,0;9774,0;5093,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
94,0;9565,1;5053,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
95,0;9358,2;5014,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
96,0;9153,6;4975,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
97,0;8951,3;4937,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
98,0;8751,5;4899,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
99,0;8554,3;4862,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
100,0;8359,8;4825,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
101,0;8168,1;4789,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
102,0;7979,2;4753,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
103,0;7793,3;4718,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
104,0;7610,4;4683,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
105,0;7430,6;4649,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
106,0;7253,8;4616,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
107,0;7080,3;4583,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
108,0;6909,9;4550,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
109,0;6742,8;4519,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
110,0;6578,9;4488,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
111,0;6418,2;4457,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
112,0;6260,8;4428,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
113,0;6106,7;4398,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
114,0;5955,9;4370,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
115,0;5808,3;4342,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
116,0;5664,0;4315,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
117,0;5522,9;4288,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
118,0;5385,0;4262,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
119,0;5250,4;4236,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
120,0;5118,9;4211,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
121,0;4990,6;4187,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
122,0;4865,3;4163,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
123,0;4743,2;4140,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
124,0;4624,2;4118,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
125,0;4508,1;4096,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
126,0;4395,0;4074,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
127,0;4284,9;4053,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
128,0;4177,6;4033,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
129,0;4073,2;4013,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
130,0;3971,6;3994,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
131,0;3872,8;3975,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
132,0;3776,7;3957,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
133,0;3683,2;3940,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
134,0;3592,3;3922,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
135,0;3504,0;3906,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
136,0;3418,3;3889,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
137,0;3334,9;3874,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
138,0;3254,0;3858,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
139,0;3175,5;3843,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
140,0;3099,3;3829,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
141,0;3025,3;3815,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
142,0;2953,5;3801,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
143,0;2883,9;3788,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
144,0;2816,5;3775,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
145,0;2751,0;3763,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
146,0;2687,6;3751,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
147,0;2626,2;3739,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
148,0;2566,6;3728,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
149,0;2509,0;3717,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
150,0;2453,1;3707,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
151,0;2399,1;3696,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
152,0;2346,7;3687,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
153,0;2296,1;3677,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
154,0;2247,1;3668,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
155,0;2199,6;3659,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
156,0;2153,7;3650,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
157,0;2109,4;3642,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
158,0;2066,5;3634,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
159,0;2025,0;3626,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
160,0;1984,9;3618,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
161,0;1946,1;3611,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
162,0;1908,7;3604,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
163,0;1872,5;3597,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
164,0;1837,5;3590,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
165,0;1803,8;3584,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
166,0;1771,2;3578,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
167,0;1739,7;3572,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
168,0;1709,3;3566,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
169,0;1679,9;3560,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
170,0;1651,6;3555,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
171,0;1624,3;3550,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
172,0;1597,9;3545,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
173,0;1572,5;3540,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
174,0;1548,0;3535,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
175,0;1524,3;3531,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
176,0;1501,5;3527,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
177,0;1479,5;3522,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
178,0;1458,3;3518,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
179,0;1437,8;3515,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
180,0;1418,1;3511,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
181,0;1399,1;3507,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
182,0;1380,8;3504,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
183,0;1363,2;3500,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
184,0;1346,2;3497,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
185,0;1329,8;3494,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
186,0;1314,1;3491,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
187,0;1298,9;3488,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
188,0;1284,3;3485,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
189,0;1270,2;3483,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
190,0;1256,7;3480,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
191,0;1243,6;3478,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
192,0;1231,1;3475,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
193,0;1219,0;3473,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
194,0;1207,4;3471,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
195,0;1196,2;3469,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
196,0;1185,4;3467,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
197,0;1175,1;3465,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
198,0;1165,1;3463,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
199,0;1155,5;3461,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
200,0;1146,3;3459,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
201,0;1137,5;3458,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
202,0;1129,0;3456,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
203,0;1120,8;3454,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
204,0;1112,9;3453,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
205,0;1105,4;3452,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
206,0;1098,1;3450,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
207,0;1091,1;3449,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
208,0;1084,4;3448,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
209,0;1077,9;3446,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
210,0;1071,7;3445,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
211,0;1065,8;3444,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
212,0;1060,0;3443,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
213,0;1054,6;3442,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
214,0;1049,3;3441,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
215,0;1044,2;3440,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
216,0;1039,3;3439,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
217,0;1034,7;3438,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
218,0;1030,2;3437,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
219,0;1025,9;3437,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
220,0;1021,7;3436,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
221,0;1017,8;3435,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
222,0;1013,9;3434,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
223,0;1010,3;3434,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
224,0;1006,8;3433,3;ALT-J — E02+E04+E01+E05+E08+E12;seca
225,0;1003,4;3432,7;ALT-J — E02+E04+E01+E05+E08+E12;seca
226,0;1000,2;3432,1;ALT-J — E02+E04+E01+E05+E08+E12;seca
227,0;997,1;3431,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
228,0;994,1;3430,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
229,0;991,2;3430,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
230,0;988,5;3429,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
231,0;985,9;3429,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
232,0;983,3;3428,9;ALT-J — E02+E04+E01+E05+E08+E12;seca
233,0;980,9;3428,5;ALT-J — E02+E04+E01+E05+E08+E12;seca
234,0;978,6;3428,0;ALT-J — E02+E04+E01+E05+E08+E12;seca
235,0;976,4;3427,6;ALT-J — E02+E04+E01+E05+E08+E12;seca
236,0;974,3;3427,2;ALT-J — E02+E04+E01+E05+E08+E12;seca
237,0;972,2;3426,8;ALT-J — E02+E04+E01+E05+E08+E12;seca
238,0;970,2;3426,4;ALT-J — E02+E04+E01+E05+E08+E12;seca
