eixo;altura_m;cota_eixo_m;cota_NA_maximorum_m;cota_NA_normal_m;cota_NA_minimo_m;area_inundada_km2;volume_acumulado_hm3;volume_util_hm3;volume_espera_hm3;restricao_montante;limitante;confiabilidade;metodo_curva
E04;120,0;239,0;359,0;326,9;297,6;42,31;2210,7;625,6;1105,3;Serra dos Cavalinhos II (operacao);teto tecnico (remanso nao e' limitante);B — CAV do MDE natural, eixo sem reservatorio;PCHIP monotonica em passos de 1 m
E02;120,0;293,0;413,0;385,8;354,8;30,78;1377,4;450,1;688,7;Passo do Meio (operacao);teto tecnico (remanso nao e' limitante);B — CAV do MDE natural, eixo sem reservatorio;PCHIP monotonica em passos de 1 m
E12;55,5;47,0;102,5;86,8;73,5;35,56;976,5;299,1;488,2;14 de Julho (operacao);remanso do aproveitamento de montante;B — CAV do MDE natural, eixo sem reservatorio;PCHIP monotonica em passos de 1 m
E08;86,0;148,0;234,0;209,8;189,2;15,49;620,4;171,1;310,2;Castro Alves (operacao);remanso do aproveitamento de montante;B — CAV do MDE natural, eixo sem reservatorio;PCHIP monotonica em passos de 1 m
E11;45,0;57,5;102,5;89,1;78,6;17,19;400,3;113,9;200,2;14 de Julho (operacao);remanso do aproveitamento de montante;B — CAV do MDE natural, eixo sem reservatorio;PCHIP monotonica em passos de 1 m
E07;84,5;149,5;234,0;209,6;189,6;9,41;385,4;104,8;192,7;Castro Alves (operacao);remanso do aproveitamento de montante;B — CAV do MDE natural, eixo sem reservatorio;PCHIP monotonica em passos de 1 m
E06;84,5;149,5;234,0;210,4;190,1;8,57;338,1;95,2;169,1;Castro Alves (operacao);remanso do aproveitamento de montante;B — CAV do MDE natural, eixo sem reservatorio;PCHIP monotonica em passos de 1 m
E01;63,6;72,5;136,1;120,1;104,2;6,48;171,6;53,6;85,8;Cotiporã (operacao);remanso do aproveitamento de montante;B — CAV do MDE natural, eixo sem reservatorio;PCHIP monotonica em passos de 1 m
E03;84,5;149,5;234,0;213,8;192,4;4,57;151,4;47,5;75,7;Castro Alves (operacao);remanso do aproveitamento de montante;B — CAV do MDE natural, eixo sem reservatorio;PCHIP monotonica em passos de 1 m
E05;67,0;167,0;234,0;216,0;199,6;3,08;90,3;27,2;45,2;Castro Alves (operacao);remanso do aproveitamento de montante;B — CAV do MDE natural, eixo sem reservatorio;PCHIP monotonica em passos de 1 m
E10;31,0;71,5;102,5;92,0;85,1;4,31;68,7;16,4;34,3;14 de Julho (operacao);remanso do aproveitamento de montante;B — CAV do MDE natural, eixo sem reservatorio;PCHIP monotonica em passos de 1 m
E09;24,5;106,0;130,5;122,0;116,6;4,12;59,7;13,8;29,8;Monte Claro (operacao);remanso do aproveitamento de montante;B — CAV do MDE natural, eixo sem reservatorio;PCHIP monotonica em passos de 1 m
