eixo;estaca_km;no_canal_principal;restricao_rev;altura_max_m_rev;volume_max_hm3_rev;restricao_ant;altura_max_m_ant;volume_max_hm3_ant;delta_altura_m;delta_volume_hm3
E04;238,1;True;Serra dos Cavalinhos II (operacao);120,0;2210,7;Jararaca (operacao);27,3;124,8;92,7;2085,9
E02;243,9;False;Passo do Meio (operacao);120,0;1377,4;José Dinarte Lepek (estudo);22,5;31,6;97,5;1345,8
E05;257,6;True;Castro Alves (operacao);67,0;91,0;Monte Cuco (operacao);-1,6;;68,6;
E06;270,7;True;Castro Alves (operacao);84,5;338,3;Monte Cuco (operacao);15,9;13,7;68,6;324,6
E07;272,7;True;Castro Alves (operacao);84,5;385,6;Monte Cuco (operacao);15,9;18,6;68,6;367,0
E03;272,8;True;Castro Alves (operacao);84,5;151,5;Monte Cuco (operacao);15,9;3,6;68,6;147,9
E08;274,3;True;Castro Alves (operacao);86,0;621,1;Foz do Prata (operacao);21,3;43,7;64,7;577,4
E09;303,3;True;Monte Claro (operacao);24,5;59,8;Foz do Prata (operacao);63,3;377,3;-38,8;-317,5
E10;335,5;True;14 de Julho (operacao);31,0;70,0;Monte Claro (operacao);59,0;480,9;-28,0;-410,9
E01;345,7;False;Cotiporã (operacao);63,6;172,0;Vale do Leite (operacao);56,4;129,1;7,2;42,9
E11;358,1;True;14 de Julho (operacao);45,0;400,3;14 de Julho (operacao);45,0;400,3;0,0;0,0
E12;375,2;True;14 de Julho (operacao);55,5;977,7;14 de Julho (operacao);55,5;977,7;0,0;0,0
