eixo;classe;justificativa;area_controlada_km2;pct_bacia_estrela;eixos_a_montante;altura_admissivel_m;limitante;restricao_montante;cota_NA_normal_m;cota_NA_maximorum_m;area_inundada_km2;volume_acumulado_hm3;volume_util_hm3;volume_espera_hm3;Ef_sem_espera_MWmed;Ef_com_espera_MWmed;P_MW;ICB_sem_espera;ICB_com_espera;perda_energia_espera_pct;balanco_liquido_MWmed;perda_usina_montante_MWmed;confiabilidade_CAV
E04;prioritario;candidato prioritario — remanso nao limita ate 120 m;7497,5;38,6;0;120,0;teto tecnico (remanso nao e' limitante);Serra dos Cavalinhos II (operacao);326,9;359,0;42,31;2210,7;625,6;1105,3;105,5;74,3;191,8;238,9;337,1;29,6;;;B — MDE natural, eixo sem reservatorio
E02;prioritario;candidato prioritario — remanso nao limita ate 120 m;3591,2;18,5;0;120,0;teto tecnico (remanso nao e' limitante);Passo do Meio (operacao);385,8;413,0;30,78;1377,4;450,1;688,7;52,4;38,6;95,3;399,0;539,7;26,3;;;B — MDE natural, eixo sem reservatorio
E01;alternativa;alternativa em tributario — restricao de Cotipora;2548,8;13,1;0;63,6;remanso do aproveitamento de montante;Cotiporã (operacao);120,1;136,1;6,48;171,6;53,6;85,8;18,0;13,4;32,7;195,6;261,9;25,6;;;B — MDE natural, eixo sem reservatorio
E12;condicionado;condicionado a usina existente de montante;15759,8;81,1;11;55,5;remanso do aproveitamento de montante;14 de Julho (operacao);86,8;102,5;35,56;976,5;299,1;488,2;96,0;68,4;174,5;75,4;103,7;28,7;39,6;60,9;B — MDE natural, eixo sem reservatorio
E08;condicionado;condicionado a usina existente de montante;11950,5;61,5;6;86,0;remanso do aproveitamento de montante;Castro Alves (operacao);209,8;234,0;15,49;620,4;171,1;310,2;113,4;80,7;206,1;77,5;106,7;28,8;85,9;36,0;B — MDE natural, eixo sem reservatorio
E11;condicionado;condicionado a usina existente de montante;15456,9;79,5;10;45,0;remanso do aproveitamento de montante;14 de Julho (operacao);89,1;102,5;17,19;400,3;113,9;200,2;75,7;53,0;137,6;54,9;76,1;30,0;17,1;61,8;B — MDE natural, eixo sem reservatorio
E07;condicionado;condicionado a usina existente de montante;8173,5;42,0;3;84,5;remanso do aproveitamento de montante;Castro Alves (operacao);209,6;234,0;9,41;385,4;104,8;192,7;75,9;53,6;138,1;90,8;126,4;29,4;46,0;37,4;B — MDE natural, eixo sem reservatorio
E06;condicionado;condicionado a usina existente de montante;8158,8;42,0;2;84,5;remanso do aproveitamento de montante;Castro Alves (operacao);210,4;234,0;8,57;338,1;95,2;169,1;75,8;54,4;137,8;101,5;139,4;28,2;45,9;37,4;B — MDE natural, eixo sem reservatorio
E03;condicionado;condicionado a usina existente de montante;3771,8;19,4;1;84,5;remanso do aproveitamento de montante;Castro Alves (operacao);213,8;234,0;4,57;151,4;47,5;75,7;35,4;26,6;64,3;162,1;213,6;24,9;1,1;37,4;B — MDE natural, eixo sem reservatorio
E05;condicionado;condicionado ao remanso de Castro Alves;7922,8;40,8;1;67,0;remanso do aproveitamento de montante;Castro Alves (operacao);216,0;234,0;3,08;90,3;27,2;45,2;57,9;42,2;105,3;64,8;86,9;27,1;25,5;35,2;B — MDE natural, eixo sem reservatorio
E09;condicionado;condicionado a usina existente de montante;12330,0;63,4;7;24,5;remanso do aproveitamento de montante;Monte Claro (operacao);122,0;130,5;4,12;59,7;13,8;29,8;32,7;21,2;59,4;34,6;50,6;35,2;17,6;13,9;B — MDE natural, eixo sem reservatorio
E10;descartado;balanco energetico negativo em toda a faixa viavel;12778,1;65,7;8;31,0;remanso do aproveitamento de montante;14 de Julho (operacao);92,0;102,5;4,31;68,7;16,4;34,3;43,0;28,2;78,3;35,6;51,6;34,4;-19,9;68,8;B — MDE natural, eixo sem reservatorio
