eixo;altura_m;volume_cav_hm3;area_alagada_km2;vol_usado_isolado_hm3;reducao_isolado_pct;reducao_com_ALTJ_pct;saturou_isolado
FQ1;15;21,0;4,8;21,0;-0,1;58,3;True
FQ1;20;58,7;10,0;58,6;-0,1;58,3;True
FQ1;25;122,8;15,5;122,4;-0,1;58,9;True
FQ1;30;215,3;21,6;212,3;-0,6;59,3;False
FQ1;35;338,0;27,5;226,2;-0,6;59,3;False
FQ1;40;489,4;32,9;227,2;-0,6;59,3;False
FQ1;45;664,4;37,0;228,3;-0,6;59,3;False
FQ1;50;860,3;41,1;229,6;-0,6;59,3;False
FQ1;60;1310,1;48,7;232,7;-0,6;59,3;False
FQ1;70;1833,5;55,9;237,6;-0,5;59,5;False
FQ2;15;20,6;4,5;20,6;-0,1;58,3;True
FQ2;20;50,0;7,3;50,0;-0,1;58,3;True
FQ2;25;93,6;9,9;93,2;-0,1;58,3;True
FQ2;30;149,0;12,2;148,4;-0,1;59,7;True
FQ2;35;215,8;14,4;209,4;-0,6;59,4;False
FQ2;40;293,4;16,6;213,1;-0,6;59,4;False
FQ2;45;381,7;18,7;214,0;-0,6;59,4;False
FQ2;50;481,0;20,9;215,1;-0,6;59,4;False
FQ2;60;709,0;24,6;217,3;-0,6;59,4;False
FQ2;70;976,5;29,0;220,1;-0,6;59,4;False
