evento;q_forqueta;data_pico_fq;q_mucum;data_pico_mucum;q_estrela;data_pico_estrela;defasagem_fq_estrela_d;contrib_fq_pct
2023-09-05;319,9;2023-09-05;15092,3;2023-09-05;17145,1;2023-09-05;0;5,5
2023-10-08;175,1;2023-10-12;5275,6;2023-10-08;8838,7;2023-10-08;-4;5,9
2023-10-13;392,8;2023-10-17;5275,6;2023-10-08;8838,7;2023-10-08;-9;13,2
2023-07-13;281,5;2023-07-13;5627,5;2023-07-13;8203,9;2023-07-13;0;10,2
2022-05-04;434,8;2022-05-03;4650,8;2022-05-04;7719,1;2022-05-04;1;16,7
2023-10-18;392,8;2023-10-17;3702,6;2023-10-13;6853,6;2023-10-18;1;17,0
2022-06-07;195,2;2022-06-06;4118,9;2022-06-07;6409,4;2022-06-07;1;9,0
2022-06-23;182,8;2022-06-23;3724,2;2022-06-23;6205,2;2022-06-23;0;8,7
2022-05-30;198,6;2022-05-30;4470,2;2022-05-30;5982,4;2022-05-30;0;9,9
2023-06-17;182,8;2023-06-16;2191,2;2023-06-16;4132,0;2023-06-17;1;13,1
2023-09-20;89,4;2023-09-25;2164,4;2023-09-20;3657,0;2023-09-20;-5;7,3
2023-09-26;122,7;2023-09-26;2197,0;2023-09-26;3230,8;2023-09-26;0;11,3
2021-06-28;203,2;2021-06-27;2207,4;2021-06-28;3074,2;2021-06-28;1;19,6
