eixo;altura_m;NA_mx_m;aproveitamento;situacao_apr;potencia_MW;area_km2;cota_apr_m;folga_m;situacao
FQ1;15;37,5;Foz do Jacutinga;estudo;0,0055;612,8;344,8;307,3;livre
FQ1;20;42,5;Foz do Jacutinga;estudo;0,0055;612,8;344,8;302,3;livre
FQ1;25;47,5;Foz do Jacutinga;estudo;0,0055;612,8;344,8;297,3;livre
FQ1;30;52,5;Foz do Jacutinga;estudo;0,0055;612,8;344,8;292,3;livre
FQ1;35;57,5;Foz do Jacutinga;estudo;0,0055;612,8;344,8;287,3;livre
FQ1;40;62,5;Foz do Jacutinga;estudo;0,0055;612,8;344,8;282,3;livre
FQ1;45;67,5;Foz do Jacutinga;estudo;0,0055;612,8;344,8;277,3;livre
FQ1;50;72,5;Foz do Jacutinga;estudo;0,0055;612,8;344,8;272,3;livre
FQ1;60;82,5;Foz do Jacutinga;estudo;0,0055;612,8;344,8;262,3;livre
FQ1;70;92,5;Foz do Jacutinga;estudo;0,0055;612,8;344,8;252,3;livre
FQ1;15;37,5;Rastro de Auto;operacao;7,02;647,6;277,4;239,9;livre
FQ1;20;42,5;Rastro de Auto;operacao;7,02;647,6;277,4;234,9;livre
FQ1;25;47,5;Rastro de Auto;operacao;7,02;647,6;277,4;229,9;livre
FQ1;30;52,5;Rastro de Auto;operacao;7,02;647,6;277,4;224,9;livre
FQ1;35;57,5;Rastro de Auto;operacao;7,02;647,6;277,4;219,9;livre
FQ1;40;62,5;Rastro de Auto;operacao;7,02;647,6;277,4;214,9;livre
FQ1;45;67,5;Rastro de Auto;operacao;7,02;647,6;277,4;209,9;livre
FQ1;50;72,5;Rastro de Auto;operacao;7,02;647,6;277,4;204,9;livre
FQ1;60;82,5;Rastro de Auto;operacao;7,02;647,6;277,4;194,9;livre
FQ1;70;92,5;Rastro de Auto;operacao;7,02;647,6;277,4;184,9;livre
FQ1;15;37,5;Salto Forqueta;operacao;6,08;672,3;190,0;152,5;livre
FQ1;20;42,5;Salto Forqueta;operacao;6,08;672,3;190,0;147,5;livre
FQ1;25;47,5;Salto Forqueta;operacao;6,08;672,3;190,0;142,5;livre
FQ1;30;52,5;Salto Forqueta;operacao;6,08;672,3;190,0;137,5;livre
FQ1;35;57,5;Salto Forqueta;operacao;6,08;672,3;190,0;132,5;livre
FQ1;40;62,5;Salto Forqueta;operacao;6,08;672,3;190,0;127,5;livre
FQ1;45;67,5;Salto Forqueta;operacao;6,08;672,3;190,0;122,5;livre
FQ1;50;72,5;Salto Forqueta;operacao;6,08;672,3;190,0;117,5;livre
FQ1;60;82,5;Salto Forqueta;operacao;6,08;672,3;190,0;107,5;livre
FQ1;70;92,5;Salto Forqueta;operacao;6,08;672,3;190,0;97,5;livre
FQ1;15;37,5;Vale Fundo;estudo;0,0056;706,2;135,7;98,2;livre
FQ1;20;42,5;Vale Fundo;estudo;0,0056;706,2;135,7;93,2;livre
FQ1;25;47,5;Vale Fundo;estudo;0,0056;706,2;135,7;88,2;livre
FQ1;30;52,5;Vale Fundo;estudo;0,0056;706,2;135,7;83,2;livre
FQ1;35;57,5;Vale Fundo;estudo;0,0056;706,2;135,7;78,2;livre
FQ1;40;62,5;Vale Fundo;estudo;0,0056;706,2;135,7;73,2;livre
FQ1;45;67,5;Vale Fundo;estudo;0,0056;706,2;135,7;68,2;livre
FQ1;50;72,5;Vale Fundo;estudo;0,0056;706,2;135,7;63,2;livre
FQ1;60;82,5;Vale Fundo;estudo;0,0056;706,2;135,7;53,2;livre
FQ1;70;92,5;Vale Fundo;estudo;0,0056;706,2;135,7;43,2;livre
FQ1;15;37,5;Vale do Leite;operacao;6,4;753,4;130,9;93,4;livre
FQ1;20;42,5;Vale do Leite;operacao;6,4;753,4;130,9;88,4;livre
FQ1;25;47,5;Vale do Leite;operacao;6,4;753,4;130,9;83,4;livre
FQ1;30;52,5;Vale do Leite;operacao;6,4;753,4;130,9;78,4;livre
FQ1;35;57,5;Vale do Leite;operacao;6,4;753,4;130,9;73,4;livre
FQ1;40;62,5;Vale do Leite;operacao;6,4;753,4;130,9;68,4;livre
FQ1;45;67,5;Vale do Leite;operacao;6,4;753,4;130,9;63,4;livre
FQ1;50;72,5;Vale do Leite;operacao;6,4;753,4;130,9;58,4;livre
FQ1;60;82,5;Vale do Leite;operacao;6,4;753,4;130,9;48,4;livre
FQ1;70;92,5;Vale do Leite;operacao;6,4;753,4;130,9;38,4;livre
FQ1;15;37,5;Barra do Galvão;estudo;0,00644;815,2;347,5;310,0;livre
FQ1;20;42,5;Barra do Galvão;estudo;0,00644;815,2;347,5;305,0;livre
FQ1;25;47,5;Barra do Galvão;estudo;0,00644;815,2;347,5;300,0;livre
FQ1;30;52,5;Barra do Galvão;estudo;0,00644;815,2;347,5;295,0;livre
