codigo;nome;rio;municipio;estado;lat;lon;area;tipo;vazao;resp;ini;fim;provavel_forqueta
86880030;RIO TAQUARI (Estrela);;ESTRELA;RIO GRANDE DO SUL;-29,5111;-51,9778;23577,0;1;;FEPAM-RS;;;False
86880000;ESTRELA;;ESTRELA;RIO GRANDE DO SUL;-29,4953;-51,9706;23500,0;1;;DNIT;;;False
86879000;LAJEADO;;LAJEADO;RIO GRANDE DO SUL;-29,4697;-51,9578;23272,0;1;;FEPAM-RS;;;False
86880050;PICADA DO CARNEIRO;;LAJEADO;RIO GRANDE DO SUL;-29,4497;-51,9181;22600,0;1;;DEPRC;;;False
86880065;ESTRELA - EH2;;LAJEADO;RIO GRANDE DO SUL;-29,4706;-51,9614;22600,0;1;;DEPRC;;;False
86880060;ESTRELA - EH1;;LAJEADO;RIO GRANDE DO SUL;-29,4706;-51,9614;22600,0;1;;DEPRC;;;False
86879300;ESTRELA;;ESTRELA;RIO GRANDE DO SUL;-29,4733;-51,9622;22472,0;1;;ANA;2018-02-01 00:00:00;;False
86790000;RIO TAQUARI (Arroio do Meio);;ARROIO DO MEIO;RIO GRANDE DO SUL;-29,4056;-51,9389;19757,0;1;;FEPAM-RS;;;False
86800001;PONTE FORQUETA;;ARROIO DO MEIO;RIO GRANDE DO SUL;-29,4156;-51,9508;19700,0;1;;DEPRC;;;False
86743000;ARROIO DO MEIO;;ARROIO DO MEIO;RIO GRANDE DO SUL;-29,4;-51,9333;19700,0;1;;DEPRC;;;False
86870000;LAJEADO;;ARROIO DO MEIO;RIO GRANDE DO SUL;-29,4156;-51,9508;19700,0;1;;ANA;1939-09-01 00:00:00;1986-02-01 00:00:00;False
86788000;RIO TAQUARI (Colinas);;COLINAS;RIO GRANDE DO SUL;-29,3833;-51,8722;19660,0;1;;FEPAM-RS;;;False
86718000;RIO TAQUARI (Roca Sales);;ROCA SALES;RIO GRANDE DO SUL;-29,225;-51,85;19175,0;1;;FEPAM-RS;;;False
86730000;ROCA SALES;;ENCANTADO;RIO GRANDE DO SUL;-29,25;-51,8667;19100,0;1;;DEPRC;1800-01-01 00:00:00;1800-01-01 00:00:00;False
86720001;ENCANTADO;;ENCANTADO;RIO GRANDE DO SUL;-29,2342;-51,8542;19100,0;1;;DNIT;;;False
86720000;ENCANTADO;;ENCANTADO;RIO GRANDE DO SUL;-29,2344;-51,855;19100,0;1;;ANA;1941-10-01 00:00:00;;False
86509000;RIO TAQUARI (Muçum);;MUÇUM;RIO GRANDE DO SUL;-29,1611;-51,8583;16072,0;1;;FEPAM-RS;;;False
86510000;MUÇUM;;MUÇUM;RIO GRANDE DO SUL;-29,1672;-51,8686;16000,0;1;;ANA;1940-01-01 00:00:00;;False
86581000;MUÇUM/ENCANTADO;;MUÇUM;RIO GRANDE DO SUL;-29,1683;-51,8875;2489,0;1;;DCRS;2026-06-01 00:00:00;;True
86580000;SANTA LÚCIA;;DOUTOR RICARDO;RIO GRANDE DO SUL;-29,1197;-51,9119;2470,0;1;;ANA;1940-01-01 00:00:00;2024-12-01 00:00:00;True
86580001;SANTA LÚCIA;;DOUTOR RICARDO;RIO GRANDE DO SUL;-29,1197;-51,9119;2470,0;1;;DNIT;;;True
86595000;BARRA DO ZEFERINO;;DOUTOR RICARDO;RIO GRANDE DO SUL;-29,0964;-51,9278;2430,0;1;;DEPRC;;;True
86746000;RIO FORQUETA (Travesseiro);;TRAVESSEIRO;RIO GRANDE DO SUL;-29,3222;-52,0889;2239,0;1;;FEPAM-RS;;;True
86800000;MARQUES DE SOUZA;;TRAVESSEIRO;RIO GRANDE DO SUL;-29,3119;-52,0928;2200,0;1;;DNIT;;;True
86780000;BARRA DO FÃO;;TRAVESSEIRO;RIO GRANDE DO SUL;-29,2239;-52,1622;2077,0;1;;ANA;2023-02-01 00:00:00;;True
86745000;PASSO DO COIMBRA;;POUSO NOVO;RIO GRANDE DO SUL;-29,2161;-52,1622;791,0;1;;ANA;1957-07-01 00:00:00;;True
86744110;PCH SALTO FORQUETA JUSANTE;;PUTINGA;RIO GRANDE DO SUL;-29,0947;-52,2122;661,0;1;;CERTELTEUTONIA;2026-01-01 00:00:00;;True
86744000;PCH SALTO FORQUETA JUSANTE DESATIVADA;;PUTINGA;RIO GRANDE DO SUL;-29,0844;-52,2064;647,0;1;;CERTEL;2002-02-01 00:00:00;2024-08-01 00:00:00;True
86743950;PCH SALTO FORQUETA ALÇA;;PUTINGA;RIO GRANDE DO SUL;-29,0833;-52,2106;647,0;1;;CERTELTEUTONIA;2016-08-01 00:00:00;;True
85810000;SINIMBU;;SINIMBÚ;RIO GRANDE DO SUL;-29,5336;-52,5197;605,0;1;;DCRS;;;True
86743900;PCH SALTO FORQUETA BARRAMENTO;;PUTINGA;RIO GRANDE DO SUL;-29,0814;-52,2083;600,0;1;;CERTELTEUTONIA;;;True
86743700;PCH RASTRO DE AUTO MONTANTE;;SÃO JOSÉ DO HERVAL;RIO GRANDE DO SUL;-29,0419;-52,2222;564,0;1;;CERTEL RASTRO;2013-12-01 00:00:00;;True
86743800;PCH RASTRO DE AUTO BARRAMENTO;;SÃO JOSÉ DO HERVAL;RIO GRANDE DO SUL;-29,0533;-52,2194;564,0;1;;CERTEL RASTRO;2023-08-01 00:00:00;;True
86697000;ARROIO JACARÉ (Encantado);;ENCANTADO;RIO GRANDE DO SUL;-29,1861;-51,9194;439,0;1;;FEPAM-RS;;;True
86700000;PONTE JACARÉ;;ENCANTADO;RIO GRANDE DO SUL;-29,1886;-51,9219;436,0;1;;ANA;1943-04-01 00:00:00;2015-03-01 00:00:00;True
86747000;RIO FORQUETINHA (Forquetinha);;FORQUETINHA;RIO GRANDE DO SUL;-29,4058;-52,055;417,0;1;;FEPAM-RS;;;True
86746900;PONTE RIO FORQUETINHA;;FORQUETINHA;RIO GRANDE DO SUL;-29,3922;-52,0758;405,0;1;;SEMA-RS;;;True
86870001;ESTRELA II;;TEUTÔNIA;RIO GRANDE DO SUL;-29,5153;-51,8569;143,0;1;;SOPRS;;;True
86744900;TRAVESSEIRO/POUSO NOVO;;TRAVESSEIRO;RIO GRANDE DO SUL;-29,2144;-52,1594;85,0;1;;DCRS;;;True
86650000;USINA PUTINGA I;;PUTINGA;RIO GRANDE DO SUL;-29,0;-52,15;36,0;1;;ANA;;;False
86760000;RIACHO FÃO;;PROGRESSO;RIO GRANDE DO SUL;-29,1597;-52,2944;26,0;1;;SEMA-RS;2002-05-01 00:00:00;2100-01-01 00:00:00;False
86710000;USINA ENCANTADO;;ENCANTADO;RIO GRANDE DO SUL;-29,2333;-51,9;12,0;1;;ANA;;;False
86700005;ENCANTADO;;ENCANTADO;RIO GRANDE DO SUL;-29,1883;-51,9208;;1;;DCRS;;;False
86733330;ENCANTADO/ROCA SALES;;ENCANTADO;RIO GRANDE DO SUL;-29,2819;-51,8808;;1;;DCRS;;;False
86744650;PCH VALE DO LEITE JUSANTE;;POUSO NOVO;RIO GRANDE DO SUL;-29,1867;-52,1756;;1;;CERTEL VALE;2026-04-01 00:00:00;;False
86746680;CANUDOS DO VALE;;CANUDOS DO VALE;RIO GRANDE DO SUL;-29,3225;-52,2353;;1;;DCRS;2026-01-01 00:00:00;;False
86878700;ARROIO DO MEIO/LAJEADO;;ARROIO DO MEIO;RIO GRANDE DO SUL;-29,4214;-51,9661;;1;;DCRS;;;False
