cenario;defasagem_h;pico_natural_m3s;pico_estrela_m3s;reducao_pct
ALT-J sem Forqueta;-12;16650;6500;61,0
ALT-J sem Forqueta;-6;16734;6528;61,0
ALT-J sem Forqueta;0;16903;7005;58,6
ALT-J sem Forqueta;6;17249;7650;55,7
ALT-J sem Forqueta;12;17910;8506;52,5
ALT-J sem Forqueta;18;18820;9129;51,5
ALT-J sem Forqueta;24;19641;9618;51,0
ALT-J sem Forqueta;35;20292;10073;50,4
ALT-J sem Forqueta;36;20286;10094;50,2
ALT-J + FQ1;-12;16650;6866;58,8
ALT-J + FQ1;-6;16734;6871;58,9
ALT-J + FQ1;0;16903;6880;59,3
ALT-J + FQ1;6;17249;6979;59,5
ALT-J + FQ1;12;17910;7252;59,5
ALT-J + FQ1;18;18820;7419;60,6
ALT-J + FQ1;24;19641;7501;61,8
ALT-J + FQ1;35;20292;7418;63,4
ALT-J + FQ1;36;20286;7433;63,4
ALT-J + FQ2;-12;16650;6501;61,0
ALT-J + FQ2;-6;16734;6531;61,0
ALT-J + FQ2;0;16903;6816;59,7
ALT-J + FQ2;6;17249;7519;56,4
ALT-J + FQ2;12;17910;8087;54,8
ALT-J + FQ2;18;18820;8478;55,0
ALT-J + FQ2;24;19641;8701;55,7
ALT-J + FQ2;35;20292;8824;56,5
ALT-J + FQ2;36;20286;8797;56,6
ALT-J + FQ1 + FQ2 (inviavel);-12;16650;6866;58,8
ALT-J + FQ1 + FQ2 (inviavel);-6;16734;6871;58,9
ALT-J + FQ1 + FQ2 (inviavel);0;16903;6880;59,3
ALT-J + FQ1 + FQ2 (inviavel);6;17249;6899;60,0
ALT-J + FQ1 + FQ2 (inviavel);12;17910;6933;61,3
ALT-J + FQ1 + FQ2 (inviavel);18;18820;7018;62,7
ALT-J + FQ1 + FQ2 (inviavel);24;19641;7169;63,5
ALT-J + FQ1 + FQ2 (inviavel);35;20292;7359;63,7
ALT-J + FQ1 + FQ2 (inviavel);36;20286;7372;63,7
FQ1 isolado;-12;16650;16973;-1,9
FQ1 isolado;-6;16734;16987;-1,5
FQ1 isolado;0;16903;17012;-0,6
FQ1 isolado;6;17249;17167;0,5
FQ1 isolado;12;17910;17499;2,3
FQ1 isolado;18;18820;17606;6,4
FQ1 isolado;24;19641;17419;11,3
FQ1 isolado;35;20292;17608;13,2
FQ1 isolado;36;20286;17603;13,2
FQ2 isolado;-12;16650;16653;-0,0
FQ2 isolado;-6;16734;16742;-0,0
FQ2 isolado;0;16903;16919;-0,1
FQ2 isolado;6;17249;17281;-0,2
FQ2 isolado;12;17910;17965;-0,3
FQ2 isolado;18;18820;18636;1,0
FQ2 isolado;24;19641;18935;3,6
FQ2 isolado;35;20292;18234;10,1
FQ2 isolado;36;20286;18108;10,7
ALT-A (E02+E04) + FQ1;-12;16650;9943;40,3
ALT-A (E02+E04) + FQ1;-6;16734;9954;40,5
ALT-A (E02+E04) + FQ1;0;16903;9974;41,0
ALT-A (E02+E04) + FQ1;6;17249;10114;41,4
ALT-A (E02+E04) + FQ1;12;17910;10435;41,7
ALT-A (E02+E04) + FQ1;18;18820;10581;43,8
ALT-A (E02+E04) + FQ1;24;19641;10450;46,8
ALT-A (E02+E04) + FQ1;35;20292;10574;47,9
ALT-A (E02+E04) + FQ1;36;20286;10578;47,9
