eixo;altura_m;frac_espera;V_max_hm3;V_espera_hm3;V_util_hm3;NA_mxn_m;queda_liq_media_m;area_alagada_km2;Qmlt_m3s;Qlm_m3s;Ef_MWmed;P_MW;custo_MRS;ICB_RS_MWh
FQ1;25;0,0;122,8;0,0;89,2;47,5;21,1;11,7;63,2;35,3;6,6;11,9;429,0;615,6
FQ1;25;0,2;122,8;24,6;74,3;45,6;19,8;10,2;63,2;35,2;6,1;11,2;429,0;657,7
FQ1;25;0,35;122,8;43,0;60,6;44,1;18,4;8,7;63,2;35,2;5,7;10,4;429,0;708,2
FQ1;25;0,5;122,8;61,4;45,2;42,7;17,0;7,2;63,2;35,1;5,2;9,5;429,0;768,0
FQ1;25;0,65;122,8;79,8;31,6;40,4;15,5;5,7;63,2;35,0;4,8;8,7;429,0;844,4
FQ1;25;0,8;122,8;98,2;18,4;38,0;13,0;3,7;63,2;34,9;4,0;7,2;429,0;1011,6
FQ1;30;0,0;215,3;0,0;156,6;52,5;25,3;16,4;63,2;35,8;7,9;14,4;683,0;806,9
FQ1;30;0,2;215,3;43,1;125,2;50,2;23,5;14,4;63,2;35,6;7,4;13,4;683,0;871,7
FQ1;30;0,35;215,3;75,4;101,7;48,4;21,9;12,6;63,2;35,4;6,8;12,4;683,0;937,7
FQ1;30;0,5;215,3;107,7;80,0;46,3;20,3;10,7;63,2;35,3;6,3;11,4;683,0;1017,0
FQ1;30;0,65;215,3;139,9;56,9;43,8;18,1;8,4;63,2;35,1;5,6;10,2;683,0;1145,8
FQ1;30;0,8;215,3;172,2;31,7;40,4;15,5;5,7;63,2;35,0;4,8;8,7;683,0;1340,2
FQ1;35;0,0;338,0;0,0;236,6;57,5;29,6;21,8;63,2;36,3;9,4;17,2;958,0;951,8
FQ1;35;0,2;338,0;67,6;192,5;54,7;27,2;18,9;63,2;36,0;8,6;15,7;958,0;1041,7
FQ1;35;0,35;338,0;118,3;159,5;52,7;25,4;16,6;63,2;35,8;8,0;14,5;958,0;1122,1
FQ1;35;0,5;338,0;169,0;122,9;50,0;23,3;14,2;63,2;35,5;7,3;13,3;958,0;1229,3
FQ1;35;0,65;338,0;219,7;86,5;47,1;20,8;11,4;63,2;35,3;6,5;11,8;958,0;1384,2
FQ1;35;0,8;338,0;270,4;50,4;43,2;17,5;7,7;63,2;35,1;5,4;9,8;958,0;1660,6
FQ1;40;0,0;489,4;0,0;335,8;62,5;33,6;26,7;63,2;36,9;10,9;19,9;1292,0;1109,3
FQ1;40;0,2;489,4;97,9;275,0;59,3;30,9;23,4;63,2;36,5;9,9;18,1;1292,0;1218,1
FQ1;40;0,35;489,4;171,3;223,6;56,7;28,9;21,0;63,2;36,2;9,2;16,7;1292,0;1314,6
FQ1;40;0,5;489,4;244,7;175,8;53,7;26,3;17,7;63,2;35,9;8,3;15,1;1292,0;1457,3
FQ1;40;0,65;489,4;318,1;124,5;50,1;23,4;14,3;63,2;35,6;7,3;13,3;1292,0;1649,1
FQ1;40;0,8;489,4;391,5;74,1;45,6;19,8;10,2;63,2;35,2;6,1;11,1;1292,0;1973,1
FQ1;50;0,0;860,3;0,0;563,2;72,5;41,7;35,0;63,2;38,3;14,1;25,6;2738,0;1820,9
FQ1;50;0,2;860,3;172,1;463,0;68,1;38,1;31,7;63,2;37,7;12,7;23,0;2738,0;2023,6
FQ1;50;0,35;860,3;301,1;381,0;64,5;35,3;28,6;63,2;37,2;11,5;21,0;2738,0;2217,1
FQ1;50;0,5;860,3;430,1;300,6;60,5;32,0;24,7;63,2;36,7;10,3;18,8;2738,0;2480,4
FQ1;50;0,65;860,3;559,2;212,5;56,0;28,3;20,2;63,2;36,1;9,0;16,4;2738,0;2843,6
FQ1;50;0,8;860,3;688,2;125,1;50,2;23,5;14,4;63,2;35,6;7,3;13,4;2738,0;3481,0
FQ1;60;0,0;1310,1;0,0;820,7;82,5;49,9;41,8;63,2;40,0;17,6;31,9;4285,0;2283,5
FQ1;60;0,2;1310,1;262,0;672,5;76,9;45,3;38,0;63,2;39,0;15,6;28,3;4285,0;2575,9
FQ1;60;0,35;1310,1;458,5;558,1;72,3;41,5;34,8;63,2;38,3;14,0;25,5;4285,0;2861,6
FQ1;60;0,5;1310,1;655,0;443,0;67,2;37,4;30,9;63,2;37,6;12,4;22,5;4285,0;3239,1
FQ1;60;0,65;1310,1;851,6;317,5;61,5;32,8;25,6;63,2;36,8;10,6;19,3;4285,0;3774,5
FQ1;60;0,8;1310,1;1048,1;187,0;54,4;26,9;18,5;63,2;36,0;8,5;15,5;4285,0;4699,6
FQ2;25;0,0;93,6;0,0;63,2;65,0;20,9;8,1;59,3;33,0;6,1;11,1;343,0;531,3
FQ2;25;0,2;93,6;18,7;52,9;62,9;19,3;7,2;59,3;32,9;5,6;10,2;343,0;576,2
FQ2;25;0,35;93,6;32,8;42,8;61,2;17,8;6,3;59,3;32,9;5,2;9,4;343,0;625,3
FQ2;25;0,5;93,6;46,8;32,3;59,5;16,4;5,4;59,3;32,8;4,7;8,6;343,0;682,4
FQ2;25;0,65;93,6;60,8;23,1;57,1;14,8;4,5;59,3;32,8;4,3;7,8;343,0;755,6
FQ2;25;0,8;93,6;74,9;13,2;54,4;11,9;2,8;59,3;32,7;3,4;6,2;343,0;936,8
FQ2;30;0,0;149,0;0,0;99,0;70,0;25,0;10,1;59,3;33,2;7,3;13,3;504,0;648,1
FQ2;30;0,2;149,0;29,8;79,7;67,3;22,9;9,1;59,3;33,1;6,7;12,1;504,0;710,4
FQ2;30;0,35;149,0;52,1;65,3;65,3;21,2;8,2;59,3;33,0;6,2;11,2;504,0;769,1
FQ2;30;0,5;149,0;74,5;52,7;62,8;19,3;7,2;59,3;32,9;5,6;10,2;504,0;846,4
FQ2;30;0,65;149,0;96,9;36,1;60,2;17,0;5,8;59,3;32,8;4,9;8,9;504,0;965,7
FQ2;30;0,8;149,0;119,2;21,1;56,6;14,3;4,2;59,3;32,7;4,1;7,5;504,0;1150,8
FQ2;35;0,0;215,8;0,0;136,7;75,0;29,3;12,2;59,3;33,5;8,6;15,7;701,0;764,4
FQ2;35;0,2;215,8;43,2;112,4;71,8;26,5;10,9;59,3;33,3;7,8;14,1;701,0;846,7
FQ2;35;0,35;215,8;75,5;93,4;69,2;24,5;9,9;59,3;33,2;7,2;13,0;701,0;919,5
FQ2;35;0,5;215,8;107,9;72,4;66,3;22,0;8,6;59,3;33,1;6,4;11,7;701,0;1025,7
FQ2;35;0,65;215,8;140,3;53,3;62,9;19,4;7,2;59,3;32,9;5,6;10,2;701,0;1167,7
FQ2;35;0,8;215,8;172,6;29,9;58,8;16,0;5,2;59,3;32,8;4,6;8,4;701,0;1425,4
