dist_montante_m;estaca_ras_m;x;y;cota_m;cota_talvegue_m
0,0;39402,2;413795,4433889873;6751107,131007551;22,0;22,0
50,0;39352,2;413829,65853863617;6751070,671118159;22,0;22,0
100,0;39302,2;413863,873688285;6751034,2112287665;22,0;22,0
150,0;39252,2;413898,0888379339;6750997,751339374;22,0;22,0
200,0;39202,2;413932,30398758274;6750961,291449982;22,0;22,0
250,0;39152,2;413966,51913723163;6750924,831560589;22,0;22,0
300,0;39102,2;414000,7342868805;6750888,371671197;22,0;22,0
350,0;39052,2;414034,94943652936;6750851,911781805;22,0;22,0
400,0;39002,2;414069,16458617826;6750815,451892412;22,0;22,0
450,0;38952,2;414103,3797358271;6750778,99200302;22,0;22,0
500,0;38902,2;414137,594885476;6750742,5321136275;22,0;21,5
550,0;38852,2;414171,8100351248;6750706,072224235;22,0;21,5
600,0;38802,2;414206,0251847737;6750669,612334843;22,0;21,5
650,0;38752,2;414240,2403344226;6750633,15244545;22,0;21,5
700,0;38702,2;414274,45548407146;6750596,692556058;21,5;21,5
750,0;38652,2;414308,67063372035;6750560,232666666;21,5;21,5
800,0;38602,2;414342,8857833692;6750523,772777273;21,5;21,5
850,0;38552,2;414377,1009330181;6750487,312887881;21,5;21,5
900,0;38502,2;414411,316082667;6750450,852998489;21,5;21,5
950,0;38452,2;414445,5312323158;6750414,393109096;21,5;21,5
1000,0;38402,2;414479,7463819647;6750377,933219704;21,5;21,5
1050,0;38352,2;414513,96153161355;6750341,473330311;21,5;21,5
1100,0;38302,2;414548,17668126244;6750305,013440918;21,5;21,5
1150,0;38252,2;414582,3918309113;6750268,553551526;21,5;21,5
1200,0;38202,2;414616,6069805602;6750232,093662133;21,5;21,5
1250,0;38152,2;414650,82213020907;6750195,633772741;21,5;21,5
1300,0;38102,2;414685,0372798579;6750159,173883349;21,5;21,5
1350,0;38052,2;414719,2524295068;6750122,713993956;21,5;21,5
1400,0;38002,2;414753,46757915564;6750086,254104564;21,5;21,5
1450,0;37952,2;414786,19682101987;6750048,817863393;21,5;21,5
1500,0;37902,2;414806,0822082876;6750002,942255787;21,5;21,5
1550,0;37852,2;414825,96759555535;6749957,0666481815;21,5;21,5
1600,0;37802,2;414845,8529828231;6749911,1910405755;21,5;21,0
1650,0;37752,2;414865,73837009084;6749865,3154329695;21,5;21,0
1700,0;37702,2;414885,6237573586;6749819,439825363;21,5;21,0
1750,0;37652,2;414905,5091446263;6749773,564217757;21,5;21,0
1800,0;37602,2;414925,39453189407;6749727,688610151;21,0;21,0
1850,0;37552,2;414945,2799191618;6749681,813002545;21,0;21,0
1900,0;37502,2;414965,16530642955;6749635,937394939;21,0;21,0
1950,0;37452,2;414985,0506936973;6749590,061787334;21,0;21,0
2000,0;37402,2;415004,93608096504;6749544,186179728;21,0;21,0
2050,0;37352,2;415024,8214682328;6749498,310572122;21,0;21,0
2100,0;37302,2;415044,7068555005;6749452,434964516;21,0;21,0
2150,0;37252,2;415064,59224276827;6749406,55935691;21,0;21,0
2200,0;37202,2;415084,477630036;6749360,683749304;21,0;21,0
2250,0;37152,2;415104,3630173038;6749314,808141698;21,0;21,0
2300,0;37102,2;415124,24840457155;6749268,932534092;21,0;21,0
2350,0;37052,2;415132,88104508567;6749220,053414342;21,0;21,0
2400,0;37002,2;415138,50158262847;6749170,370323076;21,0;21,0
2450,0;36952,2;415144,1221201712;6749120,68723181;21,0;21,0
2500,0;36902,2;415149,74265771394;6749071,004140544;21,0;21,0
2550,0;36852,2;415155,36319525674;6749021,321049279;21,0;21,0
2600,0;36802,2;415160,9837327995;6748971,6379580125;21,0;21,0
2650,0;36752,2;415166,6042703422;6748921,954866746;21,0;20,5
2700,0;36702,2;415172,224807885;6748872,27177548;21,0;20,5
2750,0;36652,2;415177,84534542775;6748822,588684215;21,0;20,5
2800,0;36602,2;415182,5885888021;6748773,0549168065;21,0;20,5
2850,0;36552,2;415160,84767348913;6748728,029006473;20,5;20,5
2900,0;36502,2;415139,10675817623;6748683,003096139;20,5;20,5
2950,0;36452,2;415117,3658428633;6748637,977185805;20,5;20,5
3000,0;36402,2;415095,6249275504;6748592,9512754725;20,5;20,5
3050,0;36352,2;415073,8840122375;6748547,925365139;20,5;20,5
3100,0;36302,2;415052,1430969245;6748502,899454805;20,5;20,5
3150,0;36252,2;415030,40218161163;6748457,873544472;20,5;20,5
3200,0;36202,2;415008,6612662987;6748412,847634139;20,5;20,5
3250,0;36152,2;414986,9203509858;6748367,821723805;20,5;20,5
3300,0;36102,2;414956,0610372074;6748330,387971645;20,5;20,5
3350,0;36052,2;414915,7186243991;6748300,850034534;20,5;20,5
3400,0;36002,2;414875,37621159083;6748271,312097423;20,5;20,5
3450,0;35952,2;414835,0337987826;6748241,774160311;20,5;20,5
3500,0;35902,2;414794,69138597435;6748212,236223199;20,5;20,5
3550,0;35852,2;414754,34897316614;6748182,698286087;20,5;20,5
3600,0;35802,2;414714,00656035787;6748153,160348976;20,5;20,5
3650,0;35752,2;414671,67258947255;6748128,294223493;20,5;20,0
3700,0;35702,2;414622,4269831369;6748119,641463434;20,5;20,0
3750,0;35652,2;414573,1813768013;6748110,988703375;20,5;20,0
3800,0;35602,2;414523,93577046564;6748102,335943316;20,5;20,0
3850,0;35552,2;414474,69016412995;6748093,6831832575;20,0;20,0
3900,0;35502,2;414425,4445577943;6748085,030423199;20,0;20,0
3950,0;35452,2;414376,1989514587;6748076,37766314;20,0;20,0
4000,0;35402,2;414326,95334512304;6748067,724903082;20,0;20,0
4050,0;35352,2;414277,7077387874;6748059,072143023;20,0;20,0
4100,0;35302,2;414228,4621324517;6748050,419382964;20,0;20,0
