id_secao;estaca_ras_m;dist_montante_km;x;y;cota_talvegue_m;sub_trecho;largura_secao_m;x_esq;y_esq;x_dir;y_dir
S001;39402,2;0,0;413795,4433889873;6751107,131007551;22,0;estendido;4000,0;415253,838964682;6752475,736993507;412337,04781329253;6749738,525021596
S002;38902,2;0,5;414137,594885476;6750742,5321136275;22,0;estendido;4000,0;415595,9904611719;6752111,138099582;412679,1993097801;6749373,926127673
S003;38402,2;1,0;414479,7463819647;6750377,933219704;21,5;estendido;4000,0;415938,1419576781;6751746,53920564;413021,35080625134;6749009,327233768
S004;37902,2;1,5;414806,0822082876;6750002,942255787;21,5;estendido;4000,0;416641,106512519;6750798,357746508;412971,0579040562;6749207,526765065
S005;37402,2;2,0;415004,93608096504;6749544,186179728;21,0;estendido;4000,0;416839,9603852023;6750339,601670437;413169,91177672776;6748748,77068902
S006;36902,2;2,5;415149,74265771394;6749071,004140544;21,0;estendido;4000,0;417137,0663083473;6749295,825642259;413162,4190070806;6748846,182638829
S007;36402,2;3,0;415095,6249275504;6748592,9512754725;20,5;estendido;4000,0;416896,66134089103;6747723,31466296;413294,5885142097;6749462,587887985
S008;35902,2;3,5;414794,69138597435;6748212,236223199;20,5;estendido;4000,0;415976,20887045347;6746598,53971088;413613,17390149523;6749825,932735519
S009;35402,2;4,0;414326,95334512304;6748067,724903082;20,0;estendido;4000,0;414673,0637474689;6746097,900649655;413980,84294277715;6750037,549156508
S010;34902,2;4,5;413852,2563371755;6747932,638944131;20,0;estendido;4000,0;414858,6600466769;6746204,301137595;412845,8526276741;6749660,976750667
S011;34402,2;5,0;413678,77701549575;6747493,151491887;19,5;estendido;4000,0;415633,5221537937;6747070,101324294;411724,0318771978;6747916,20165948
S012;33902,2;5,5;413444,91225111776;6747063,100264751;19,5;estendido;4000,0;415042,6584705809;6745860,101088446;411847,16603165463;6748266,099441057
S013;33402,2;6,0;413126,3606490671;6746680,075879187;19,0;estendido;4000,0;414454,9719807165;6745185,153831249;411797,7493174177;6748174,997927126
S014;32902,2;6,5;412752,6301370806;6746347,923046277;19,0;estendido;4000,0;414081,2414687092;6744853,00099832;411424,01880545204;6747842,845094234
S015;32402,2;7,0;412380,46145376697;6746014,059534134;19,0;estendido;4000,0;413748,595914022;6744555,221606651;411012,32699351193;6747472,897461617
S016;31902,2;7,5;412015,75197189406;6745672,025919072;18,5;estendido;4000,0;413383,88643212925;6744213,187991571;410647,6175116589;6747130,863846574
S017;31402,2;8,0;411592,4064344591;6745437,912481742;18,5;estendido;4000,0;412071,8679752268;6743496,233664088;411112,9448936914;6747379,591299396
S018;30902,2;8,5;411100,5807906661;6745432,13912279;18,0;estendido;4000,0;410841,48691634607;6743448,992541145;411359,67466498615;6747415,285704435
S019;30402,2;9,0;410687,52428664576;6745695,856671549;18,0;estendido;4000,0;408912,93026652094;6746618,253583804;412462,1183067706;6744773,459759295
S020;29902,2;9,5;410921,63024107047;6746137,558453712;17,5;estendido;4000,0;409200,2939492328;6747155,891096026;412642,96653290815;6745119,225811398
