eixo;altura_m;cota_eixo_m;NA_novo_m;usina_montante;cota_leito_montante_m;cota_min_operacional_m;elevacao_canal_fuga_m;perda_Ef_montante_MWmed;perda_pct_da_usina;volume_novo_hm3;VETO_atinge_min_operacional
E05;10;167,0;177,0;Castro Alves;187,0;239,0;0,0;0,0;0,0;1,7;False
E05;20;167,0;187,0;Castro Alves;187,0;239,0;0,0;0,0;0,0;6,0;False
E05;30;167,0;197,0;Castro Alves;187,0;239,0;9,9;8,76;18,8;14,7;False
E05;40;167,0;207,0;Castro Alves;187,0;239,0;19,9;17,56;37,7;28,7;False
E05;50;167,0;217,0;Castro Alves;187,0;239,0;29,9;26,36;56,6;47,3;False
E05;60;167,0;227,0;Castro Alves;187,0;239,0;39,9;35,16;75,4;71,0;False
E05;80;167,0;247,0;Castro Alves;187,0;239,0;52,9;46,61;100,0;178,9;True
E05;100;167,0;267,0;Castro Alves;187,0;239,0;52,9;46,61;100,0;445,0;True
E05;120;167,0;287,0;Castro Alves;187,0;239,0;52,9;46,61;100,0;853,5;True
E06;10;149,5;159,5;Castro Alves;187,0;239,0;0,0;0,0;0,0;6,5;False
E06;20;149,5;169,5;Castro Alves;187,0;239,0;0,0;0,0;0,0;20,0;False
E06;30;149,5;179,5;Castro Alves;187,0;239,0;0,0;0,0;0,0;41,9;False
E06;40;149,5;189,5;Castro Alves;187,0;239,0;2,4;2,16;4,6;71,6;False
E06;50;149,5;199,5;Castro Alves;187,0;239,0;12,4;10,96;23,5;112,0;False
E06;60;149,5;209,5;Castro Alves;187,0;239,0;22,4;19,76;42,4;163,6;False
E06;80;149,5;229,5;Castro Alves;187,0;239,0;42,4;37,36;80,2;300,6;False
E06;100;149,5;249,5;Castro Alves;187,0;239,0;52,9;46,61;100,0;545,7;True
E06;120;149,5;269,5;Castro Alves;187,0;239,0;52,9;46,61;100,0;970,5;True
E07;10;149,5;159,5;Castro Alves;187,0;239,0;0,0;0,0;0,0;9,3;False
E07;20;149,5;169,5;Castro Alves;187,0;239,0;0,0;0,0;0,0;26,4;False
E07;30;149,5;179,5;Castro Alves;187,0;239,0;0,0;0,0;0,0;52,9;False
E07;40;149,5;189,5;Castro Alves;187,0;239,0;2,4;2,16;4,6;87,7;False
E07;50;149,5;199,5;Castro Alves;187,0;239,0;12,4;10,96;23,5;134,1;False
E07;60;149,5;209,5;Castro Alves;187,0;239,0;22,4;19,76;42,4;192,2;False
E07;80;149,5;229,5;Castro Alves;187,0;239,0;42,4;37,36;80,2;344,2;False
E07;100;149,5;249,5;Castro Alves;187,0;239,0;52,9;46,61;100,0;606,9;True
E07;120;149,5;269,5;Castro Alves;187,0;239,0;52,9;46,61;100,0;1051,7;True
E03;10;149,5;159,5;Castro Alves;187,0;239,0;0,0;0,0;0,0;1,7;False
E03;20;149,5;169,5;Castro Alves;187,0;239,0;0,0;0,0;0,0;5,3;False
E03;30;149,5;179,5;Castro Alves;187,0;239,0;0,0;0,0;0,0;12,3;False
E03;40;149,5;189,5;Castro Alves;187,0;239,0;2,4;2,16;4,6;23,8;False
E03;50;149,5;199,5;Castro Alves;187,0;239,0;12,4;10,96;23,5;41,2;False
E03;60;149,5;209,5;Castro Alves;187,0;239,0;22,4;19,76;42,4;63,8;False
E03;80;149,5;229,5;Castro Alves;187,0;239,0;42,4;37,36;80,2;131,5;False
E03;100;149,5;249,5;Castro Alves;187,0;239,0;52,9;46,61;100,0;230,4;True
E03;120;149,5;269,5;Castro Alves;187,0;239,0;52,9;46,61;100,0;370,9;True
E08;10;148,0;158,0;Castro Alves;187,0;239,0;0,0;0,0;0,0;13,5;False
E08;20;148,0;168,0;Castro Alves;187,0;239,0;0,0;0,0;0,0;39,1;False
E08;30;148,0;178,0;Castro Alves;187,0;239,0;0,0;0,0;0,0;78,3;False
E08;40;148,0;188,0;Castro Alves;187,0;239,0;0,9;0,84;1,8;131,7;False
E08;50;148,0;198,0;Castro Alves;187,0;239,0;10,9;9,64;20,7;202,9;False
E08;60;148,0;208,0;Castro Alves;187,0;239,0;20,9;18,44;39,6;292,5;False
E08;80;148,0;228,0;Castro Alves;187,0;239,0;40,9;36,04;77,3;531,6;False
E08;100;148,0;248,0;Castro Alves;187,0;239,0;52,9;46,61;100,0;906,9;True
E08;120;148,0;268,0;Castro Alves;187,0;239,0;52,9;46,61;100,0;1509,8;True
E09;10;106,0;116,0;Monte Claro;116,9;147,0;0,0;0,0;0,0;14,6;False
E09;20;106,0;126,0;Monte Claro;116,9;147,0;9,1;13,87;29,3;42,7;False
E09;30;106,0;136,0;Monte Claro;116,9;147,0;19,1;29,07;61,4;84,5;False
E09;40;106,0;146,0;Monte Claro;116,9;147,0;29,1;44,28;93,6;142,0;False
E09;50;106,0;156,0;Monte Claro;116,9;147,0;31,1;47,32;100,0;224,8;True
E09;60;106,0;166,0;Monte Claro;116,9;147,0;31,1;47,32;100,0;334,5;True
E09;80;106,0;186,0;Monte Claro;116,9;147,0;31,1;47,32;100,0;638,7;True
E09;100;106,0;206,0;Monte Claro;116,9;147,0;31,1;47,32;100,0;1074,9;True
E09;120;106,0;226,0;Monte Claro;116,9;147,0;31,1;47,32;100,0;1657,0;True
E10;10;71,5;81,5;14 de Julho;62,4;103,0;19,1;33,65;46,0;11,2;False
E10;20;71,5;91,5;14 de Julho;62,4;103,0;29,1;51,24;70,0;33,1;False
E10;30;71,5;101,5;14 de Julho;62,4;103,0;39,1;68,83;94,0;64,3;False
E10;40;71,5;111,5;14 de Julho;62,4;103,0;41,6;73,23;100,0;154,6;True
E10;50;71,5;121,5;14 de Julho;62,4;103,0;41,6;73,23;100,0;309,2;True
E10;60;71,5;131,5;14 de Julho;62,4;103,0;41,6;73,23;100,0;501,0;True
E10;80;71,5;151,5;14 de Julho;62,4;103,0;41,6;73,23;100,0;1001,9;True
E10;100;71,5;171,5;14 de Julho;62,4;103,0;41,6;73,23;100,0;1702,5;True
E10;120;71,5;191,5;14 de Julho;62,4;103,0;41,6;73,23;100,0;2627,6;True
E11;10;57,5;67,5;14 de Julho;62,4;103,0;5,1;9,02;12,3;17,5;False
E11;20;57,5;77,5;14 de Julho;62,4;103,0;15,1;26,61;36,3;76,9;False
E11;30;57,5;87,5;14 de Julho;62,4;103,0;25,1;44,21;60,4;179,9;False
E11;40;57,5;97,5;14 de Julho;62,4;103,0;35,1;61,8;84,4;318,4;False
E11;50;57,5;107,5;14 de Julho;62,4;103,0;41,6;73,23;100,0;508,4;True
E11;60;57,5;117,5;14 de Julho;62,4;103,0;41,6;73,23;100,0;812,3;True
E11;80;57,5;137,5;14 de Julho;62,4;103,0;41,6;73,23;100,0;1618,9;True
E11;100;57,5;157,5;14 de Julho;62,4;103,0;41,6;73,23;100,0;2716,4;True
E11;120;57,5;177,5;14 de Julho;62,4;103,0;41,6;73,23;100,0;4158,8;True
E12;10;47,0;57,0;14 de Julho;62,4;103,0;0,0;0,0;0,0;20,0;False
E12;20;47,0;67,0;14 de Julho;62,4;103,0;4,6;8,14;11,1;92,3;False
E12;30;47,0;77,0;14 de Julho;62,4;103,0;14,6;25,74;35,1;256,5;False
E12;40;47,0;87,0;14 de Julho;62,4;103,0;24,6;43,33;59,2;494,5;False
