eixo;altura_m;cota_NA_m;area_alagada_km2;volume_hm3;metodo;confiabilidade
MC2;10,0;117,5;1,1;5,31;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;11,0;118,5;1,15;6,37;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;12,0;119,5;1,21;7,54;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;13,0;120,5;1,277;8,8;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;14,0;121,5;1,351;10,15;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;15,0;122,5;1,431;11,58;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;16,0;123,5;1,522;13,11;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;17,0;124,5;1,627;14,77;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;18,0;125,5;1,741;16,54;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;19,0;126,5;1,858;18,41;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;20,0;127,5;1,973;20,35;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;21,0;128,5;2,087;22,39;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;22,0;129,5;2,203;24,54;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;23,0;130,5;2,321;26,81;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;24,0;131,5;2,439;29,19;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;25,0;132,5;2,557;31,66;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;26,0;133,5;2,675;34,25;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;27,0;134,5;2,794;36,99;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;28,0;135,5;2,913;39,84;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;29,0;136,5;3,032;42,81;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;30,0;137,5;3,15;45,87;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;31,0;138,5;3,266;49,04;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;32,0;139,5;3,381;52,34;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;33,0;140,5;3,496;55,76;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;34,0;141,5;3,612;59,29;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;35,0;142,5;3,731;62,94;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;36,0;143,5;3,844;66,67;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;37,0;144,5;3,95;70,49;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
