dist_m;x;y;area_D8_km2;cota_MDE_m
0,0;445468,0953633457;6787016,928324744;0,001;251,8
25,0;445490,7234280356;6787006,299557723;0,001;253,1
50,0;445513,3514927256;6786995,670790702;0,002;248,4
75,0;445535,9795574155;6786985,042023681;0,003;229,6
100,0;445558,6076221055;6786974,41325666;0,007;213,0
125,0;445581,23568679544;6786963,784489639;0,007;213,0
150,0;445603,8637514854;6786953,155722618;0,007;207,8
175,0;445626,49181617534;6786942,526955597;0,008;195,4
200,0;445649,11988086527;6786931,898188576;0,017;184,6
225,0;445671,74794555525;6786921,269421555;0,002;170,9
250,0;445694,3760102452;6786910,640654534;0,03;162,8
275,0;445717,00407493516;6786900,011887513;0,034;136,5
300,0;445739,6321396251;6786889,383120492;0,02;107,5
325,0;445762,26020431507;6786878,754353471;0,021;107,5
350,0;445784,888269005;6786868,125586449;0,021;107,5
375,0;445807,5163336949;6786857,496819428;0,171;107,5
400,0;445830,1443983849;6786846,868052407;12225,257;107,5
425,0;445852,7724630748;6786836,239285386;0,001;109,7
450,0;445875,4005277648;6786825,610518365;0,003;113,4
475,0;445898,02859245474;6786814,981751344;0,003;113,4
500,0;445920,65665714466;6786804,352984323;0,002;130,9
525,0;445943,28472183464;6786793,724217302;0,001;144,2
550,0;445965,91278652457;6786783,095450281;0,001;154,8
575,0;445988,54085121455;6786772,46668326;0,034;164,9
600,0;446011,1689159045;6786761,837916239;0,034;164,9
625,0;446033,79698059446;6786751,209149218;0,033;171,9
650,0;446056,4250452844;6786740,580382197;0,031;182,7
675,0;446079,0531099743;6786729,951615176;0,03;188,4
700,0;446101,6811746643;6786719,322848155;0,029;199,6
725,0;446124,3092393542;6786708,694081134;0,001;204,2
750,0;446146,9373040442;6786698,065314113;0,028;208,7
775,0;446169,5653687341;6786687,436547092;0,027;216,6
800,0;446192,1934334241;6786676,807780071;0,016;229,5
