eixo;altura_m;frac_espera;area_km2;cota_eixo_m;NA_jn_m;restricao_jusante;NA_mxn_m;NA_min_m;Hb_mxn_m;Hb_med_m;Hl_med_m;V_max_hm3;V_espera_hm3;V_util_hm3;area_alagada_km2;Qn_m3s;Qlm_m3s;Ef_MWmed;P_MW;custo_MRS;CT_MRS_ano;ICB_RS_MWh;t_reenchimento_meses;reench_ok;restricao_montante
E04;120,0;0,0;7497,5;239,0;239,0;nivel natural no local;359,0;319,0;120,0;102,7;100,7;2210,7;0,0;1304,9;42,31;82,5;90,6;80,2;145,9;2642;219,6;312,5;3,3;True;Serra dos Cavalinhos II (operacao)
E04;120,0;0,2;7497,5;239,0;239,0;nivel natural no local;347,7;311,5;108,7;93,1;91,2;2210,7;442,1;1030,0;42,31;82,5;88,9;71,3;129,7;2642;219,2;350,9;2,6;True;Serra dos Cavalinhos II (operacao)
E04;120,0;0,35;7497,5;239,0;239,0;nivel natural no local;338,0;305,0;99,0;84,8;83,1;2210,7;773,7;827,0;42,31;82,5;87,6;64,0;116,4;2642;218,9;390,3;2,1;True;Serra dos Cavalinhos II (operacao)
E04;120,0;0,5;7497,5;239,0;239,0;nivel natural no local;326,8;297,5;87,8;75,0;73,5;2210,7;1105,3;625,3;42,31;82,5;86,3;55,9;101,6;2642;218,5;446,4;1,6;True;Serra dos Cavalinhos II (operacao)
E04;120,0;0,65;7497,5;239,0;239,0;nivel natural no local;313,2;288,4;74,2;63,3;62,0;2210,7;1437,0;426,5;42,31;82,5;85,1;46,5;84,5;2642;218,1;535,9;1,1;True;Serra dos Cavalinhos II (operacao)
E04;120,0;0,8;7497,5;239,0;239,0;nivel natural no local;295,1;276,4;56,1;47,8;46,8;2210,7;1768,6;230,8;42,31;82,5;83,9;34,6;62,9;2642;217,5;718,3;0,6;True;Serra dos Cavalinhos II (operacao)
E02;120,0;0,0;3591,2;293,0;293,0;nivel natural no local;413,0;373,0;120,0;103,2;101,2;1377,4;0,0;914,6;30,78;39,5;45,2;40,2;73,2;2211;182,6;518,0;4,8;True;Passo do Meio (operacao)
E02;120,0;0,2;3591,2;293,0;293,0;nivel natural no local;403,4;366,6;110,4;95,1;93,2;1377,4;275,5;729,7;30,78;39,5;44,0;36,1;65,7;2211;182,4;576,5;3,9;True;Passo do Meio (operacao)
E02;120,0;0,35;3591,2;293,0;293,0;nivel natural no local;395,2;361,1;102,2;88,1;86,3;1377,4;482,1;590,7;30,78;39,5;43,2;32,8;59,6;2211;182,2;634,5;3,1;True;Passo do Meio (operacao)
E02;120,0;0,5;3591,2;293,0;293,0;nivel natural no local;385,7;354,8;92,7;80,1;78,5;1377,4;688,7;449,6;30,78;39,5;42,3;29,2;53,1;2211;182,1;712,0;2,4;True;Passo do Meio (operacao)
