eixo;altura_m;frac_espera;area_km2;cota_eixo_m;NA_jn_m;restricao_jusante;NA_mxn_m;NA_min_m;Hb_mxn_m;Hb_med_m;Hl_med_m;V_max_hm3;V_espera_hm3;V_util_hm3;area_alagada_km2;Qn_m3s;Qlm_m3s;Ef_MWmed;P_MW;custo_MRS;CT_MRS_ano;ICB_RS_MWh;t_reenchimento_meses;reench_ok;restricao_montante
E04;120,0;0,0;7497,5;239,0;239,0;nivel natural no local;359,0;319,0;120,0;102,8;100,7;2210,7;0,0;1304,9;42,31;110,9;119,0;105,5;191,8;2642;220,8;238,9;2,5;True;Serra dos Cavalinhos II (operacao)
E04;120,0;0,2;7497,5;239,0;239,0;nivel natural no local;347,7;311,5;108,7;93,1;91,2;2210,7;442,1;1030,7;42,31;110,9;117,3;94,2;171,3;2642;220,2;266,9;1,9;True;Serra dos Cavalinhos II (operacao)
E04;120,0;0,35;7497,5;239,0;239,0;nivel natural no local;338,1;305,0;99,1;84,8;83,1;2210,7;773,7;827,5;42,31;110,9;116,0;84,8;154,2;2642;219,8;295,8;1,6;True;Serra dos Cavalinhos II (operacao)
E04;120,0;0,5;7497,5;239,0;239,0;nivel natural no local;326,9;297,6;87,9;75,0;73,5;2210,7;1105,3;625,6;42,31;110,9;114,8;74,3;135,1;2642;219,3;337,1;1,2;True;Serra dos Cavalinhos II (operacao)
E04;120,0;0,65;7497,5;239,0;239,0;nivel natural no local;313,2;288,5;74,2;63,4;62,1;2210,7;1437,0;426,6;42,31;110,9;113,5;62,0;112,8;2642;218,8;402,6;0,8;True;Serra dos Cavalinhos II (operacao)
E04;120,0;0,8;7497,5;239,0;239,0;nivel natural no local;295,2;276,4;56,2;47,8;46,9;2210,7;1768,6;231,2;42,31;110,9;112,3;46,4;84,3;2642;218,1;537,0;0,4;True;Serra dos Cavalinhos II (operacao)
E02;120,0;0,0;3591,2;293,0;293,0;nivel natural no local;413,0;373,0;120,0;103,3;101,2;1377,4;0,0;914,6;30,78;53,1;58,8;52,4;95,3;2211;183,1;399,0;3,6;True;Passo do Meio (operacao)
E02;120,0;0,2;3591,2;293,0;293,0;nivel natural no local;403,5;366,6;110,5;95,1;93,2;1377,4;275,5;730,4;30,78;53,1;57,7;47,3;86,0;2211;182,9;441,5;2,9;True;Passo do Meio (operacao)
E02;120,0;0,35;3591,2;293,0;293,0;nivel natural no local;395,2;361,2;102,2;88,1;86,4;1377,4;482,1;591,3;30,78;53,1;56,8;43,2;78,5;2211;182,7;483,2;2,3;True;Passo do Meio (operacao)
E02;120,0;0,5;3591,2;293,0;293,0;nivel natural no local;385,8;354,8;92,8;80,1;78,5;1377,4;688,7;450,1;30,78;53,1;55,9;38,6;70,2;2211;182,5;539,7;1,8;True;Passo do Meio (operacao)
E02;120,0;0,65;3591,2;293,0;293,0;nivel natural no local;374,2;347,2;81,2;70,3;68,9;1377,4;895,3;306,3;30,78;53,1;55,0;33,3;60,6;2211;182,3;624,0;1,2;True;Passo do Meio (operacao)
E02;120,0;0,8;3591,2;293,0;293,0;nivel natural no local;358,6;336,7;65,6;56,6;55,4;1377,4;1101,9;163,6;30,78;53,1;54,1;26,4;48,0;2211;182,0;786,8;0,6;True;Passo do Meio (operacao)
E05;67,0;0,0;7922,8;167,0;167,0;nivel natural no local;234,0;211,7;67,0;57,1;56,0;90,3;0,0;53,6;3,08;117,2;117,5;57,9;105,3;370;32,9;64,8;0,1;True;Castro Alves (operacao)
E05;67,0;0,2;7922,8;167,0;167,0;nivel natural no local;227,5;207,3;60,5;51,6;50,6;90,3;18,1;43,0;3,08;117,2;117,5;52,3;95,1;370;32,6;71,2;0,1;True;Castro Alves (operacao)
E05;67,0;0,35;7922,8;167,0;167,0;nivel natural no local;222,1;203,8;55,1;47,0;46,0;90,3;31,6;35,1;3,08;117,2;117,4;47,6;86,5;370;32,4;77,7;0,1;True;Castro Alves (operacao)
E05;67,0;0,5;7922,8;167,0;167,0;nivel natural no local;216,0;199,6;49,0;41,7;40,9;90,3;45,2;27,2;3,08;117,2;117,4;42,2;76,8;370;32,2;86,9;0,0;True;Castro Alves (operacao)
E05;67,0;0,65;7922,8;167,0;167,0;nivel natural no local;208,8;194,8;41,8;35,6;34,9;90,3;58,7;19,4;3,08;117,2;117,3;36,0;65,5;370;31,9;101,0;0,0;True;Castro Alves (operacao)
E05;67,0;0,8;7922,8;167,0;167,0;nivel natural no local;199,7;188,8;32,7;28,1;27,6;90,3;72,3;10,9;3,08;117,2;117,3;28,5;51,7;370;31,5;126,4;0,0;True;Castro Alves (operacao)
E06;84,5;0,0;8158,8;149,5;149,5;nivel natural no local;234,0;205,8;84,5;72,1;70,7;338,1;0,0;194,7;8,57;120,7;121,9;75,8;137,8;782;67,4;101,5;0,3;True;Castro Alves (operacao)
E06;84,5;0,2;8158,8;149,5;149,5;nivel natural no local;225,7;200,3;76,2;64,9;63,6;338,1;67,6;154,9;8,57;120,7;121,7;68,1;123,9;782;67,0;112,3;0,3;True;Castro Alves (operacao)
