eixo;altura_m;area_km2;restricao_montante;restricao_jusante;Hl_m;V_max_hm3;Ef_sem_espera;P_sem_espera;ICB_sem_espera;Ef_com_espera;V_espera_hm3;ICB_com_espera;perda_energia_pct
E09;24,5;12330,0;Monte Claro (operacao);nivel natural no local;20,3;59,8;24,3;44,2;44,8;15,6;29,9;66,7;35,8
E10;31,0;12778,1;14 de Julho (operacao);nivel natural no local;25,9;70,0;32,1;58,4;46,0;21,1;35,0;67,3;34,3
E11;45,0;15456,9;14 de Julho (operacao);nivel natural no local;37,3;400,3;56,3;102,3;72,0;39,4;200,2;100,7;30,0
E05;67,0;7922,8;Castro Alves (operacao);nivel natural no local;56,0;91,0;43,1;78,4;85,2;31,5;45,5;114,8;26,9
E12;55,5;15759,8;14 de Julho (operacao);nivel natural no local;46,1;977,7;71,7;130,3;99,1;51,0;488,8;137,3;28,9
E08;86,0;11950,5;Castro Alves (operacao);nivel natural no local;72,0;621,1;84,7;153,9;102,0;60,1;310,5;141,5;29,0
E07;84,5;8173,5;Castro Alves (operacao);nivel natural no local;70,6;385,6;56,7;103,0;120,0;39,9;192,8;168,0;29,6
E06;84,5;8158,8;Castro Alves (operacao);nivel natural no local;70,6;338,3;56,5;102,8;134,3;40,5;169,2;185,6;28,3
E03;84,5;3771,8;Castro Alves (operacao);nivel natural no local;71,3;151,5;26,4;48,0;215,6;19,9;75,7;284,8;24,6
E01;63,6;2548,8;Cotiporã (operacao);nivel natural no local;53,4;172,0;13,5;24,5;259,7;10,0;86,0;349,4;25,9
E04;120,0;7497,5;Serra dos Cavalinhos II (operacao);nivel natural no local;100,7;2210,7;80,2;145,9;312,5;55,9;1105,3;446,4;30,3
E02;120,0;3591,2;Passo do Meio (operacao);nivel natural no local;101,2;1377,4;40,2;73,2;518,0;29,2;688,7;712,0;27,4
