eixo;altura_m;area_km2;restricao_montante;restricao_jusante;Hl_m;V_max_hm3;Ef_sem_espera;P_sem_espera;ICB_sem_espera;Ef_com_espera;V_espera_hm3;ICB_com_espera;perda_energia_pct
E09;24,5;12330,0;Monte Claro (operacao);nivel natural no local;20,3;59,7;32,7;59,4;34,6;21,2;29,8;50,6;35,2
E10;31,0;12778,1;14 de Julho (operacao);nivel natural no local;25,8;68,7;43,0;78,3;35,6;28,2;34,3;51,6;34,4
E11;45,0;15456,9;14 de Julho (operacao);nivel natural no local;37,4;400,3;75,7;137,6;54,9;53,0;200,2;76,1;30,0
E05;67,0;7922,8;Castro Alves (operacao);nivel natural no local;56,0;90,3;57,9;105,3;64,8;42,2;45,2;86,9;27,1
E12;55,5;15759,8;14 de Julho (operacao);nivel natural no local;46,1;976,5;96,0;174,5;75,4;68,4;488,2;103,7;28,7
E08;86,0;11950,5;Castro Alves (operacao);nivel natural no local;72,0;620,4;113,4;206,1;77,5;80,7;310,2;106,7;28,8
E07;84,5;8173,5;Castro Alves (operacao);nivel natural no local;70,6;385,4;75,9;138,1;90,8;53,6;192,7;126,4;29,4
E06;84,5;8158,8;Castro Alves (operacao);nivel natural no local;70,7;338,1;75,8;137,8;101,5;54,4;169,1;139,4;28,2
E03;84,5;3771,8;Castro Alves (operacao);nivel natural no local;71,3;151,4;35,4;64,3;162,1;26,6;75,7;213,6;24,9
E01;63,6;2548,8;Cotiporã (operacao);nivel natural no local;53,3;171,6;18,0;32,7;195,6;13,4;85,8;261,9;25,6
E04;120,0;7497,5;Serra dos Cavalinhos II (operacao);nivel natural no local;100,7;2210,7;105,5;191,8;238,9;74,3;1105,3;337,1;29,6
E02;120,0;3591,2;Passo do Meio (operacao);nivel natural no local;101,2;1377,4;52,4;95,3;399,0;38,6;688,7;539,7;26,3
