nome;potencia_MW;lat;lon;estaca_km;dist_canal_m;cota_terreno_m;cota_talvegue_m;dif_cota_m;no_canal_1500m;cota_coerente_40m;restricao_valida
Pezzi;19,0;-28,792511;-50,56539253;96,61202517514542;17,391756961689175;565,0;547,3858032226562;17,61419677734375;True;True;True
Passo do Meio;30,0;-28,80639015;-50,61301669;108,9713606473638;37,99327872432339;527,3;508,1809672694053;19,119032730594654;True;True;True
Serra dos Cavalinhos I;25,0;-28,79569538;-50,72966788;127,15909615637652;7,078807279699205;452,0;450,7983870967742;1,2016129032257936;True;True;True
Serra dos Cavalinhos II;29,025;-28,79184163;-50,74647603;133,6774942942862;67,67701291094421;437,4;422,1338707708544;15,266129229145577;True;True;True
Palanquinho;24,165;-28,89601362;-50,81195024;148,17681300343182;7761,992972029574;507,0;388,35483870967744;118,64516129032256;False;False;False
Criúva;23,949;-28,96438521;-50,79897485;154,56473504510708;15367,08638138778;640,8;370,3870967741936;270,41290322580636;False;False;False
Saltinho RS;27,27;-28,61175556;-51,34347778;202,0771292544344;34121,058100894974;532,6;266,241935483871;266,35806451612905;False;False;False
Da Ilha;26,0;-28,89143806;-51,45587639;244,01851889867004;12979,089539740733;279,4;239,0;40,39999999999998;False;False;False
Castro Alves;130,0;-29,00529866;-51,3844177;248,3969337996487;23,013593397544685;236,0;203,30225790700604;32,69774209299396;True;True;True
Jararaca;28,0;-28,93654917;-51,46532111;272,31427727381447;8843,898711115156;268,3;149,5;118,80000000000001;False;False;False
Foz do Prata;49,365;-28,9925;-51,47083333;272,68655883542993;2641,65747094222;171,3;149,5;21,80000000000001;False;True;False
Monte Claro;130,0;-29,03083717;-51,52125794;279,47539948192184;100,77328906500932;132,5;131,2258064516129;1,2741935483871032;True;True;True
Autódromo;24,0;-28,82823578;-51,84216092;319,41524881087764;27829,342263453313;280,0;104,5;175,5;False;False;False
São Paulo;16,0;-28,77472222;-51,84305556;319,41524881087764;32509,606692112342;322,5;104,5;218,0;False;False;False
Boa Fé;24,0;-28,75277778;-51,84388889;319,41524881087764;34564,89354375031;359,5;104,5;255,0;False;False;False
Caçador;22,5;-28,70592052;-51,85079336;319,41524881087764;39345,54948827203;425,0;104,5;320,5;False;False;False
Linha Emília;19,5;-28,94069116;-51,77335718;320,06322491479995;14398,735807165762;179,6;104,5;75,1;False;False;False
Cotiporã;19,5;-28,96282975;-51,7577345;320,06322491479995;11764,836527675252;138,1;104,5;33,599999999999994;False;True;False
14 de Julho;100,0;-29,06475278;-51,67494167;326,2379785342945;50,25278689204736;104,5;82,40322580645162;22,096774193548384;True;True;True
Monte Cuco;30,0;-28,96666667;-51,91666666;380,4102607845796;19821,905676100065;167,4;42,403225806451616;124,99677419354839;False;False;False
