alternativa;eixos;alturas;arranjo;area_ctrl_km2;pct_bacia;V_util_hm3;area_alagada_km2;pico_2024_com;reducao_pct;saturou;custo_MRS;EAD_sem_MRS;EAD_com_MRS;benef_anual_MRS;VPL_benef_MRS;VPL_custo_MRS;VPL_liq_MRS;BC
B1-80m-seca;B1;80;seca;15457;79,5;1600;46,8;13788;23,4;TRUE;1125;312,6;95,7;217;3420;1267;2153;2,7
B1-90m-seca;B1;90;seca;15457;79,5;1977;54;8516;52,7;FALSE;1431;312,6;62;250,6;3950;1611;2339;2,45
B1-70m-seca;B1;70;seca;15457;79,5;1166;40;17113;4,9;TRUE;865;312,6;167,7;145;2285;974;1311;2,35
B3-90m-seca;B3;90;seca;12774;65,7;1287;34,2;14028;22,1;TRUE;1250;312,6;115,5;197,1;3107;1407;1700;2,21
B3-90m+B2-30m-seca;B3+B2;90/30;seca;15336;78,9;1319;36,6;14068;21,8;TRUE;1320;312,6;115,9;196,8;3102;1487;1615;2,09
B1-100m-seca;B1;100;seca;15457;79,5;2079;63;8286;54;FALSE;1790;312,6;52,4;260,2;4102;2016;2086;2,03
B3-80m-seca;B3;80;seca;12774;65,7;970;29,4;17113;4,9;TRUE;980;312,6;172,9;139,8;2203;1104;1099;2
B3-90m+B2-40m-seca;B3+B2;90/40;seca;15336;78,9;1349;37,9;14084;21,8;TRUE;1376;312,6;115,6;197;3105;1549;1556;2
B3-100m-seca;B3;100;seca;12774;65,7;1583;39,7;10145;43,6;FALSE;1568;312,6;90,2;222,4;3506;1766;1740;1,99
B3-100m+B2-30m-seca;B3+B2;100/30;seca;15336;78,9;1615;42,1;10145;43,6;TRUE;1639;312,6;90,3;222,3;3504;1845;1659;1,9
B3-80m+B2-30m-seca;B3+B2;80/30;seca;15336;78,9;1002;31,8;17113;4,9;TRUE;1051;312,6;173,4;139,3;2195;1184;1012;1,85
B3-100m+B2-40m-seca;B3+B2;100/40;seca;15336;78,9;1645;43,4;10156;43,6;FALSE;1694;312,6;90,1;222,5;3507;1907;1600;1,84
B3-80m+B2-40m-seca;B3+B2;80/40;seca;15336;78,9;1031;33,1;17142;4,8;TRUE;1106;312,6;173,3;139,4;2197;1246;951;1,76
B1-110m-seca;B1;110;seca;15457;79,5;2145;71,7;8087;55,1;FALSE;2194;312,6;46,3;266,4;4199;2470;1728;1,7
B3-110m-seca;B3;110;seca;12774;65,7;1693;45,3;9976;44,6;FALSE;1936;312,6;81,8;230,9;3639;2180;1459;1,67
B3-110m+B2-30m-seca;B3+B2;110/30;seca;15336;78,9;1725;47,7;9976;44,6;TRUE;2006;312,6;81,9;230,7;3636;2259;1377;1,61
B3-110m+B2-40m-seca;B3+B2;110/40;seca;15336;78,9;1755;49;9987;44,5;FALSE;2062;312,6;81,7;231;3641;2322;1319;1,57
B3-70m-seca;B3;70;seca;12774;65,7;704;24,2;17973;0,2;TRUE;748;312,6;230,1;82,6;1302;842;460;1,55
B3-90m+B2-50m-seca;B3+B2;90/50;seca;15336;78,9;1383;39,2;14068;21,8;TRUE;1789;312,6;115;197,7;3115;2014;1101;1,55
B3-100m+B2-50m-seca;B3+B2;100/50;seca;15336;78,9;1679;44,7;10154;43,6;FALSE;2107;312,6;89,6;223,1;3516;2372;1144;1,48
B1-60m-seca;B1;60;seca;15457;79,5;798;33,5;18000;0;TRUE;644;312,6;246,6;66;1041;725;316;1,44
B1-120m-seca;B1;120;seca;15457;79,5;2204;80,9;7912;56;FALSE;2649;312,6;41,1;271,5;4280;2983;1296;1,43
B3-120m-seca;B3;120;seca;12774;65,7;1744;51,8;9827;45,4;FALSE;2363;312,6;76,3;236,3;3725;2661;1064;1,4
B3-70m+B2-30m-seca;B3+B2;70/30;seca;15336;78,9;736;26,6;17973;0,2;TRUE;818;312,6;230,7;82;1292;921;371;1,4
B3-90m+B2-60m-seca;B3+B2;90/60;seca;15336;78,9;1437;40,7;14078;21,8;TRUE;2055;312,6;108,2;204,5;3223;2314;909;1,39
B3-100m+B2-60m-seca;B3+B2;100/60;seca;15336;78,9;1733;46,2;10133;43,7;FALSE;2373;312,6;82,6;230,1;3626;2672;954;1,36
B3-120m+B2-30m-seca;B3+B2;120/30;seca;15336;78,9;1776;54,2;9827;45,4;TRUE;2434;312,6;76,4;236,2;3723;2740;983;1,36
B3-120m+B2-40m-seca;B3+B2;120/40;seca;15336;78,9;1805;55,5;9838;45,3;FALSE;2489;312,6;76,2;236,5;3727;2803;925;1,33
B3-70m+B2-40m-seca;B3+B2;70/40;seca;15336;78,9;766;27,9;17973;0,1;TRUE;874;312,6;230,4;82,3;1297;984;313;1,32
B3-110m+B2-50m-seca;B3+B2;110/50;seca;15336;78,9;1790;50,3;9985;44,5;FALSE;2475;312,6;81,1;231,5;3649;2787;862;1,31
B3-80m+B2-50m-seca;B3+B2;80/50;seca;15336;78,9;1066;34,4;17135;4,8;TRUE;1519;312,6;172,5;140,1;2209;1711;498;1,29
B3-90m+B2-70m-seca;B3+B2;90/70;seca;15336;78,9;1504;42,3;14088;21,7;TRUE;2394;312,6;101,2;211,4;3332;2696;636;1,24
B3-100m+B2-70m-seca;B3+B2;100/70;seca;15336;78,9;1801;47,8;9730;45,9;FALSE;2712;312,6;72,2;240,4;3790;3054;736;1,24
B3-110m+B2-60m-seca;B3+B2;110/60;seca;15336;78,9;1843;51,8;9962;44,7;FALSE;2740;312,6;74,3;238,4;3757;3086;671;1,22
B1-120m-convencional;B1;120;convencional;15457;79,5;2549;80,9;11195;37,8;FALSE;2649;312,6;94,4;218,2;3440;2983;456;1,15
B3-80m+B2-60m-seca;B3+B2;80/60;seca;15336;78,9;1120;35,9;17138;4,8;TRUE;1785;312,6;166,3;146,4;2307;2010;297;1,15
B3-120m+B2-50m-seca;B3+B2;120/50;seca;15336;78,9;1840;56,8;9836;45,4;FALSE;2902;312,6;75,6;237;3736;3268;468;1,14
B3-110m+B2-70m-seca;B3+B2;110/70;seca;15336;78,9;1911;53,4;9551;46,9;FALSE;3080;312,6;63,8;248,8;3922;3468;454;1,13
B3-90m+B2-80m-seca;B3+B2;90/80;seca;15336;78,9;1585;44,3;13069;27,4;TRUE;2812;312,6;91,3;221,3;3489;3167;321;1,1
B3-100m+B2-80m-seca;B3+B2;100/80;seca;15336;78,9;1881;49,8;8966;50,2;FALSE;3131;312,6;66,4;246,3;3882;3525;356;1,1
B3-120m+B2-60m-seca;B3+B2;120/60;seca;15336;78,9;1894;58,2;9810;45,5;FALSE;3168;312,6;68,9;243,7;3841;3567;274;1,08
B3-80m+B2-70m-seca;B3+B2;80/70;seca;15336;78,9;1187;37,5;16170;10,2;TRUE;2124;312,6;150,1;162,6;2562;2392;170;1,07
