situacao;nome;potencia_kW;municipio;lat;lon;area_drenagem_km2;cota_terreno_m;curso_dagua
operacao;Uzina do Maringa;112,00;;-28,51081578;-52,00609144;18,6;741,8;786678
operacao;Bertussi;1000,00;;-28,86694444;-50,93916667;137,7;697,3;786918
operacao;Capiguí;3200,00;;-28,35102048;-52,21423653;146,8;628,5;7864
operacao;Camargo;200,00;;-28,59108294;-52,24231673;156,7;452,1;78646
operacao;Barracão;810,00;;-29,1406508;-51,47692184;158,7;302,6;78678
estudo;Salto Quebra Dentes;5,700;;-28,67;-50,91;176,1;721,6;78692
operacao;Dona Maria Piana;1000,00;;-29,08937222;-51,30944444;198,5;339,9;786912
operacao;Taipinha;864,00;;-28,94472222;-52,50333333;240,7;444,5;7862
operacao;Soledade;1196,00;;-28,93772056;-52,48592889;240,7;520,9;7862
operacao;São Domingos do Prata;2205,00;;-28,81305556;-51,73777778;258,2;409,1;78664
operacao;Rio São Marcos;2200,00;;-29,03632861;-51,09440194;266,2;513,3;786914
estudo;Grotão;5,200;;-29,01;-50,24;284,7;866,1;786992
estudo;Vacaria;6,300;;-28,71;-51,0;311,5;639,5;786922
operacao;Trabuco;2000,00;;-28,60714114;-51,21940149;311,7;714,1;78688
estudo;Esteira;6,600;;-28,72;-50,91;356,0;665,0;78692
estudo;Refugiado;9,000;;-28,74;-50,97;377,2;545,4;786922
estudo;Monte Alegre;9,400;;-28,76;-50,92;396,8;569,1;78692
operacao;Cazuza Ferreira;9100,00;;-29,0206358;-50,73085032;451,6;774,9;78694
estudo;Nova Prata;12,500;;-28,75;-51,53;472,0;536,6;78682
operacao;do Parque;128,00;;-28,77527777;-51,51777778;498,6;435,3;78682
operacao;Boa Vista;705,75;;-29,47138889;-51,86805556;548,1;41,6;78618
operacao;Santo Antônio de Casca;990,00;;-28,52031022;-51,90856934;600,3;530,9;7866
estudo;Foz do Jacutinga;5,500;;-29,03;-52,22;612,8;344,8;78624
operacao;Rastro de Auto;7020,00;;-29,05222222;-52,21861111;647,6;277,4;78624
operacao;Salto Forqueta;6080,00;;-29,0798476;-52,20962591;672,3;190,0;78624
operacao;Morro Grande;9800,00;;-28,5591;-51,3109;696,3;633,0;7868
estudo;Vale Fundo;5,600;;-29,13;-52,19;706,2;135,7;78624
operacao;Vale do Leite;6400,00;;-29,15598889;-52,18705833;753,4;130,9;78624
operacao;Criúva;23949,00;;-28,96438521;-50,79897485;755,2;640,8;78694
estudo;Garrafa;7,501;;-28,94;-50,28;756,5;858,8;786
estudo;Barra do Galvão;6,440;;-29,14;-52,45;815,2;347,5;7862
operacao;Palanquinho;24165,00;;-28,89601362;-50,81195024;820,7;507,0;78694
estudo;Alto Constantino;8,000;;-29,15;-52,37;892,8;264,2;7862
estudo;José Dinarte Lepek;7,501;;-29,15;-52,32;955,8;317,5;7862
operacao;Jardim;9000,00;;-28,56078889;-51,40699722;1068,4;567,6;78686
operacao;Fazenda Velha;7300,00;;-28,56999721;-51,40669166;1070,6;549,1;78686
estudo;Bugrinha;8,502;;-29,17;-52,28;1150,7;221,2;7862
estudo;Barra do Telha;8,213;;-28,59;-51,34;1210,1;555,5;7868
operacao;Chimarrão;11825,00;;-28,597975;-51,39916111;1214,2;514,9;7868
operacao;Saltinho RS;27270,00;;-28,61175556;-51,34347778;1214,2;532,6;7868
estudo;Queimado;8,060;;-29,19;-52,24;1230,5;247,1;7862
