recorte;Nome_Municipio;eventos_atlas;mortos;feridos;enfermos;desabrigados;desalojados;desaparecidos;afetados_diretos;outros_afetados;danos_materiais;prejuizo_publico;prejuizo_privado;prejuizo_total;danos_economicos_atlas
maio_2024_hidrologico;Muçum;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Roca Sales;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Encantado;1;1,0;12,0;0,0;726,0;923,0;2,0;1664,0;21298,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Colinas;1;0,0;80,0;200,0;200,0;1150,0;0,0;1630,0;1030,0;6431928,95;1936494,74;17833535,73;19770030,47;26201959,419999998
maio_2024_hidrologico;Arroio do Meio;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Cruzeiro do Sul;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Lajeado;1;2,0;60,0;0,0;1326,0;5000,0;3,0;6391,0;65000,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Estrela;1;2,0;0,0;0,0;1100,0;4000,0;1,0;5103,0;32183,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Bom Retiro do Sul;1;0,0;0,0;0,0;55,0;1400,0;0,0;1455,0;2500,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Fazenda Vilanova;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4291,0;494003,76;0,0;2297809,09;2297809,09;2791812,8499999996
maio_2024_hidrologico;Taquari;1;2,0;0,0;0,0;90,0;894,0;0,0;986,0;24214,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Venâncio Aires;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Mato Leitão;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Santa Clara do Sul;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Marques de Souza;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Travesseiro;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Capitão;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Bom Princípio;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
maio_2024_hidrologico;Sério;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2024_hidrologico;Muçum;1;0,0;0,0;0,0;306,0;3520,0;0,0;3826,0;965,0;66196503,83;2173616,54;110656842,22;112830458,77;179026962,6
2024_hidrologico;Roca Sales;1;14,0;14,0;0,0;350,0;3000,0;2,0;3380,0;0,0;0,0;0,0;0,0;0,0;0,0
2024_hidrologico;Encantado;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2024_hidrologico;Colinas;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2024_hidrologico;Arroio do Meio;1;1,0;0,0;0,0;1000,0;12000,0;0,0;13001,0;0,0;0,0;0,0;0,0;0,0;0,0
2024_hidrologico;Cruzeiro do Sul;1;13,0;0,0;0,0;800,0;2987,0;5,0;3805,0;12331,0;0,0;0,0;0,0;0,0;0,0
2024_hidrologico;Lajeado;3;0,0;0,0;0,0;300,0;500,0;0,0;800,0;0,0;0,0;0,0;0,0;0,0;0,0
