nome;potencia_MW;area_drenagem_km2;cota_NA_atual_m;area_espelho_atual_km2;altura_cenario_m;volume_limite_upper_hm3;percentual_do_necessario;custo_baixo_MRS;custo_base_MRS;custo_alto_MRS
14 de Julho;100,0;12609.9;104.8;5,93;1;4,5;0,1393188854489164;6,366184647775805;12,97482837528604;23,48160965493116
14 de Julho;100,0;12609.9;104.8;5,93;2;11,3;0,3498452012383901;15,986197004414802;32,5812356979405;58,96493091127158
14 de Julho;100,0;12609.9;104.8;5,93;3;18,9;0,5851393188854489;26,73797552065838;54,49427917620136;98,62276055071086
14 de Julho;100,0;12609.9;104.8;5,93;5;35,1;1,0866873065015479;49,65624025265127;101,20366132723112;183,15655530846306
14 de Julho;100,0;12609.9;104.8;5,93;8;62,0;1,9195046439628483;87,71187736935553;178,76430205949654;323,5243996901627
14 de Julho;100,0;12609.9;104.8;5,93;10;81,7;2,5294117647058822;115,5816190496185;235,56521739130432;426,3216686239724
14 de Julho;100,0;12609.9;104.8;5,93;15;136,1;4,213622291021672;192,54171790273043;392,41647597253996;710,1882386746956
14 de Julho;100,0;12609.9;104.8;5,93;20;197,3;6,108359133126935;279,1218291124814;568,8741418764301;1029,5381299817595
Monte Claro;130,0;11965.1;133.5;0,04;1;0,0;0,0;0,0;0,0;0,0
Monte Claro;130,0;11965.1;133.5;0,04;2;0,1;0,0030959752321981426;0,14147076995057345;0,2883295194508009;0,5218135478873591
Monte Claro;130,0;11965.1;133.5;0,04;3;0,1;0,0030959752321981426;0,14147076995057345;0,2883295194508009;0,5218135478873591
Monte Claro;130,0;11965.1;133.5;0,04;5;0,5;0,015479876160990712;0,7073538497528672;1,4416475972540044;2,609067739436796
Monte Claro;130,0;11965.1;133.5;0,04;8;1,3;0,04024767801857585;1,839120009357455;3,7482837528604116;6,783576122535669
Monte Claro;130,0;11965.1;133.5;0,04;10;2,2;0,06811145510835914;3,112356938912616;6,34324942791762;11,479898053521902
Monte Claro;130,0;11965.1;133.5;0,04;15;5,2;0,1609907120743034;7,35648003742982;14,993135011441646;27,134304490142675
Monte Claro;130,0;11965.1;133.5;0,04;20;14,7;0,4551083591331269;20,796203182734295;42,38443935926772;76,70659153944179
Castro Alves;130,0;7590.3;236.5;0,25;1;0,1;0,0030959752321981426;0,14147076995057345;0,2883295194508009;0,5218135478873591
Castro Alves;130,0;7590.3;236.5;0,25;2;0,4;0,01238390092879257;0,5658830798022938;1,1533180778032035;2,0872541915494365
Castro Alves;130,0;7590.3;236.5;0,25;3;2,3;0,07120743034055727;3,253827708863189;6,6315789473684195;12,001711601409259
Castro Alves;130,0;7590.3;236.5;0,25;5;10,6;0,3281733746130031;14,995901614760783;30,562929061784892;55,31223607606006
