municipio;area_mun_km2;inund_sem_km2;inund_com_km2;reducao_km2;reducao_pct;prof_media_sem_m;prof_media_com_m;eventos_atlas_mai24;afetados_diretos_mai24;outros_afetados_mai24;danos_materiais_mai24;prejuizo_publico_mai24;prejuizo_privado_mai24;prejuizo_total_mai24;danos_economicos_atlas_mai24;eventos_atlas_ano2024;afetados_diretos_ano2024;outros_afetados_ano2024;danos_materiais_ano2024;prejuizo_publico_ano2024;prejuizo_privado_ano2024;prejuizo_total_ano2024;danos_economicos_atlas_ano2024;eventos_atlas_historico;afetados_diretos_historico;outros_afetados_historico;danos_materiais_historico;prejuizo_publico_historico;prejuizo_privado_historico;prejuizo_total_historico;danos_economicos_atlas_historico;fracao_municipio_inundada_sem_hand;fracao_municipio_inundada_com_hand;dano_atlas_mai24_por_km2_inund_sem_hand;status_populacao_domicilios_ibge_2022;status_setores_censitarios_ibge_2022;status_custo_reposicao;classe_base
Venâncio Aires;772,6;55,63;55,01;0,61;1,1;2,29;1,77;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;23650,0;0,0;0,0;0,0;0,0;0,0;0,0;16;18111,0;14206,0;32220501,64;10071970,59;104871383,64;114943354,23;147163855,87;0,07200362412632669;0,07120113901113125;0,0;pendente — não integrado;pendente — não integrado;pendente — SINAPI/CUB-RS/cadastro municipal;"exposição municipal preliminar; não é curva cota–dano"
Taquari;350,0;43,12;41,97;1,15;2,7;6,02;4,46;1;986,0;24214,0;0,0;0,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11;2161,0;9850,0;37302215,53;3709685,0;39019415,86;42729100,86;80031316,39;0,12319999999999999;0,11991428571428571;0,0;pendente — não integrado;pendente — não integrado;pendente — SINAPI/CUB-RS/cadastro municipal;"exposição municipal preliminar; não é curva cota–dano"
Cruzeiro do Sul;155,1;30,19;29,19;1,01;3,3;6,13;4,24;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;3805,0;12331,0;0,0;0,0;0,0;0,0;0,0;12;13156,0;19981,0;209663533,81;9768769,36;88268803,57;98037572,93;307701106,74;0,19464861379755;0,1882011605415861;0,0;pendente — não integrado;pendente — não integrado;pendente — SINAPI/CUB-RS/cadastro municipal;"exposição municipal preliminar; não é curva cota–dano"
Estrela;185,0;32,05;26,0;6,05;18,9;7,11;5,53;1;5103,0;32183,0;0,0;0,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20;17497,0;56431,0;119413239,82;17222161,82;143526211,07;160748372,88;280161612,7;0,17324324324324322;0,14054054054054055;0,0;pendente — não integrado;pendente — não integrado;pendente — SINAPI/CUB-RS/cadastro municipal;"exposição municipal preliminar; não é curva cota–dano"
Bom Retiro do Sul;102,5;21,16;19,61;1,55;7,3;6,8;4,93;1;1455,0;2500,0;0,0;0,0;0,0;0,0;0,0;1;508,0;730,0;11500407,53;276642,11;4510254,33;4786896,43;16287303,96;13;2197,0;13058,0;30456500,62;6077458,71;21670661,84;27748120,55;58204621,17;0,2064390243902439;0,1913170731707317;0,0;pendente — não integrado;pendente — não integrado;pendente — SINAPI/CUB-RS/cadastro municipal;"exposição municipal preliminar; não é curva cota–dano"
Arroio do Meio;157,1;25,89;17,41;8,47;32,7;6,54;5,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;13001,0;0,0;0,0;0,0;0,0;0,0;0,0;14;14991,0;43590,0;58138133,73;8737808,74;303591704,44;312329513,17;370467646,9;0,16479949077021006;0,11082113303628263;0,0;pendente — não integrado;pendente — não integrado;pendente — SINAPI/CUB-RS/cadastro municipal;"exposição municipal preliminar; não é curva cota–dano"
Roca Sales;208,1;22,31;12,2;10,1;45,3;8,88;6,61;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;3380,0;0,0;0,0;0,0;0,0;0,0;0,0;10;2910,0;640,0;83098566,52000001;26246214,85;68094569,36;94340784,21;177439350,73000002;0,10720807304180682;0,05862566074002883;0,0;pendente — não integrado;pendente — não integrado;pendente — SINAPI/CUB-RS/cadastro municipal;"exposição municipal preliminar; não é curva cota–dano"
Lajeado;91,2;13,42;10,88;2,53;18,9;11,21;8,75;1;6391,0;65000,0;0,0;0,0;0,0;0,0;0,0;3;800,0;0,0;0,0;0,0;0,0;0,0;0,0;23;10176,0;73713,0;148960776,34;25157552,68;16116053,52;41273606,21;190234382,55;0,14714912280701753;0,1192982456140351;0,0;pendente — não integrado;pendente — não integrado;pendente — SINAPI/CUB-RS/cadastro municipal;"exposição municipal preliminar; não é curva cota–dano"
Marques de Souza;125,7;9,06;9,06;0,0;0,0;4,39;4,39;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;572,0;3497,0;0,0;0,0;0,0;0,0;0,0;7;804,0;4257,0;15936143,75;2399424,15;12966818,96;15366243,12;31302386,87;0,0720763723150358;0,0720763723150358;0,0;pendente — não integrado;pendente — não integrado;pendente — SINAPI/CUB-RS/cadastro municipal;"exposição municipal preliminar; não é curva cota–dano"
Muçum;111,2;12,1;8,31;3,79;31,3;10,59;7,17;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;3826,0;965,0;66196503,83;2173616,54;110656842,22;112830458,77;179026962,6;8;6641,0;3486,0;15273579,36;2280397,23;800202332,61;802482729,83;817756309,19;0,10881294964028776;0,07473021582733813;0,0;pendente — não integrado;pendente — não integrado;pendente — SINAPI/CUB-RS/cadastro municipal;"exposição municipal preliminar; não é curva cota–dano"
