barragem;altura_m;area_km2;volume_hm3
BAR-A;5;2,11;5,6
BAR-A;10;3,75;19,7
BAR-A;15;7,28;45,1
BAR-A;20;11,75;91,8
BAR-A;25;16,25;162,6
BAR-A;30;20,53;255,4
BAR-A;35;23,73;366,6
BAR-A;40;26,67;492,9
BAR-A;45;29,53;633,5
BAR-A;50;32,26;787,8
BAR-A;60;45,23;1150,1
BAR-A;70;54,14;1648,3
BAR-A;80;62,46;2231,4
BAR-A2;5;1,25;3,9
BAR-A2;10;1,65;11,2
BAR-A2;15;2,14;20,7
BAR-A2;20;2,61;32,5
BAR-A2;25;3,02;46,5
BAR-A2;30;3,39;62,7
BAR-A2;35;11,37;93,9
BAR-A2;40;13,53;156,2
BAR-A2;45;15,47;229
BAR-A2;50;17,21;310,8
BAR-A2;60;21,05;502,4
BAR-A2;70;24,83;732
BAR-A2;80;30,1;1003,5
BAR-B;5;0,25;0,5
BAR-B;10;0,6;2,6
BAR-B;15;0,89;6,3
BAR-B;20;1,16;11,4
BAR-B;25;1,7;18,5
BAR-B;30;2,13;28
BAR-B;35;2,81;40,3
BAR-B;40;3,39;56
BAR-B;45;3,98;74,4
BAR-B;50;4,58;95,8
BAR-B;60;5,91;148,5
BAR-B;70;7,57;215,5
BAR-B;80;9,43;300,5
A2+B (conjunto);5;1,5;4,4
A2+B (conjunto);10;2,25;13,8
A2+B (conjunto);15;3,03;27
A2+B (conjunto);20;3,77;43,9
A2+B (conjunto);25;4,72;65
A2+B (conjunto);30;5,52;90,7
A2+B (conjunto);35;14,18;134,2
A2+B (conjunto);40;16,92;212,2
A2+B (conjunto);45;19,45;303,4
A2+B (conjunto);50;21,79;406,6
A2+B (conjunto);60;26,96;650,9
A2+B (conjunto);70;32,4;947,5
A2+B (conjunto);80;39,53;1304
