eixo;altura_m;cota_NA_eixo_m;aproveitamento;situacao;potencia_kW;cota_existente_m;area_exist_km2;afogamento_m
E01;10;82,5;Boa Vista;operacao;705,75;41,6;548,1;40,9
E01;60;132,5;Vale do Leite;operacao;6400,00;130,9;753,4;1,6
E01;65;137,5;Vale Fundo;estudo;5,600;135,7;706,2;1,8
E01;70;142,5;Cotiporã;operacao;19500,00;138,1;2447,6;4,4
E01;75;147,5;Nelson José Zanelatto;estudo;5,690;147,2;2079,5;0,3
E01;95;167,5;Monte Cuco;operacao;30000,00;167,4;2143,9;0,1
E01;110;182,5;Linha Emília;operacao;19500,00;179,6;2314,1;2,9
E01;120;192,5;Salto Forqueta;operacao;6080,00;190,0;672,3;2,5
E01;120;192,5;Guaporé;operacao;667,20;189,0;2066,4;3,5
E02;10;303,0;Barracão;operacao;810,00;302,6;158,7;0,4
E02;10;303,0;Boa Vista;operacao;705,75;41,6;548,1;261,4
E02;10;303,0;Rastro de Auto;operacao;7020,00;277,4;647,6;25,6
E02;10;303,0;Salto Forqueta;operacao;6080,00;190,0;672,3;113,0
E02;10;303,0;Vale Fundo;estudo;5,600;135,7;706,2;167,3
E02;10;303,0;Vale do Leite;operacao;6400,00;130,9;753,4;172,1
E02;10;303,0;Alto Constantino;estudo;8,000;264,2;892,8;38,8
E02;10;303,0;Bugrinha;estudo;8,502;221,2;1150,7;81,8
E02;10;303,0;Queimado;estudo;8,060;247,1;1230,5;55,9
E02;10;303,0;Buongiorno;estudo;10,250;289,3;1769,2;13,7
E02;10;303,0;Autódromo;operacao;24000,00;280,0;1816,4;23,0
E02;10;303,0;Guaporé;operacao;667,20;189,0;2066,4;114,0
E02;10;303,0;Nelson José Zanelatto;estudo;5,690;147,2;2079,5;155,8
E02;10;303,0;Monte Cuco;operacao;30000,00;167,4;2143,9;135,6
E02;10;303,0;Linha Emília;operacao;19500,00;179,6;2314,1;123,4
E02;10;303,0;Cotiporã;operacao;19500,00;138,1;2447,6;164,9
E02;25;318,0;José Dinarte Lepek;estudo;7,501;317,5;955,8;0,5
E02;30;323,0;São Paulo;operacao;16000,00;322,5;1748,2;0,5
E02;50;343,0;Dona Maria Piana;operacao;1000,00;339,9;198,5;3,1
E02;55;348,0;Foz do Jacutinga;estudo;5,500;344,8;612,8;3,2
E02;55;348,0;Barra do Galvão;estudo;6,440;347,5;815,2;0,5
E02;70;363,0;Boa Fé;operacao;24000,00;359,5;1700,4;3,5
E02;75;368,0;Primavera do Rio Turvo;estudo;30,000;367,0;2862,0;1,0
E02;85;378,0;Duque de Caxias;estudo;6,500;374,5;3015,4;3,5
E02;100;393,0;Linha Tafona;estudo;11,100;392,5;2678,7;0,5
E02;120;413,0;São Domingos do Prata;operacao;2205,00;409,1;258,2;3,9
E03;10;159,5;Boa Vista;operacao;705,75;41,6;548,1;117,9
E03;10;159,5;Vale Fundo;estudo;5,600;135,7;706,2;23,8
E03;10;159,5;Vale do Leite;operacao;6400,00;130,9;753,4;28,6
E03;10;159,5;Nelson José Zanelatto;estudo;5,690;147,2;2079,5;12,3
E03;10;159,5;Cotiporã;operacao;19500,00;138,1;2447,6;21,4
E03;20;169,5;Monte Cuco;operacao;30000,00;167,4;2143,9;2,1
E03;35;184,5;Linha Emília;operacao;19500,00;179,6;2314,1;4,9
E03;40;189,5;Guaporé;operacao;667,20;189,0;2066,4;0,5
E03;45;194,5;Salto Forqueta;operacao;6080,00;190,0;672,3;4,5
E03;75;224,5;Bugrinha;estudo;8,502;221,2;1150,7;3,3
E03;100;249,5;Queimado;estudo;8,060;247,1;1230,5;2,4
