cenario;tempo_h;Q_natural_Estrela_m3s;Q_resultante_Estrela_m3s;Q_fora_E12_m3s
C01;0,0;600,0;122,9351851851852;113,58641975308645
C01;1,0;602,0730252219284;123,35993141777077;113,97886560811429
C01;2,0;615,6917366914672;126,15029611192301;116,55703340390629
C01;3,0;650,1096337094854;133,20224701791417;123,07270956675148
C01;4,0;712,3864302716262;145,96226288142566;134,86237349205965
C01;5,0;807,6922804725331;165,48966678755903;152,90479066846797
C01;6,0;939,578770874094;196,5244960014714;177,87231443265648
C01;7,0;1110,2198372612952;231,5013439853043;210,17649408894135
C01;8,0;1320,6254897546692;274,70284537097297;250,00853535983208
C01;9,0;1570,830978959158;326,19810312111406;297,37511156201117
C01;10,0;1860,0638049961954;385,8760482312582;352,1299802030351
C01;11,0;2186,8907593063777;453,47760184437567;414,00181956786696
C01;12,0;2549,346994559396;621,1208464116855;482,61866303382175
C01;13,0;2945,048939510288;703,6576985131173;557,5292750609964
C01;14,0;3371,2927119421097;794,4981419905033;638,2217818152961
C01;15,0;3825,1395327745504;894,4668138643498;724,1398409730917
C01;16,0;4303,48950692258;1004,011740872113;814,6966092271856
C01;17,0;4803,145010566519;1123,265210166948;909,2867421752527
C01;18,0;5320,864809227682;1263,810460358029;1007,2966394506035
C01;19,0;5853,409925584;1401,9175915684198;1108,1131279904453
C01;20,0;6397,582179524259;1548,9668300481342;1211,1307580805135
C01;21,0;6950,256234804096;1704,484244595902;1315,7578701299403
C01;22,0;7508,405906163199;1867,8477915750902;1421,421574890011
C01;23,0;8069,125407273852;2038,3206994902648;1527,5717759181712
C01;24,0;8629,646152846582;2215,240955151471;1633,6843503963996
C01;25,0;9187,349667093044;2397,4049446560916;1739,2635928413492
C01;26,0;9739,777095054598;2584,053391433237;1843,8440157006141
C01;27,0;10284,635762599604;2774,2457617755845;1946,9915912304057
C01;28,0;10819,8031847608;2967,0358621271457;2048,3045103167033
C01;29,0;11343,328880145813;3161,4850766788286;2147,4135259625846
C01;30,0;11853,434311058632;3362,7011803017476;2243,9819419525716
C01;31,0;12348,511234394355;3557,757141869584;2337,7053006593687
C01;32,0;12827,11871701698;3751,9186754541306;2428,3108180229383
C01;33,0;13287,97904092603;3944,4624517683546;2515,556608354733
C01;34,0;13729,972697810983;4134,688580058924;2599,2307367532926
C01;35,0;14152,132649350526;4321,92705292905;2679,1501325174804
C01;36,0;14553,638008623728;5005,888715131803;2755,1593929700134
C01;37,0;14933,807279066135;5183,1375465074925;2827,1295035195067
C01;38,0;15292,09127034545;5355,758523056224;2894,956496559946
C01;39,0;15628,065795183416;5523,365939439362;2958,560068900927
C01;40,0;15941,424237360823;5685,533676178807;3017,882174811488
C01;41,0;16231,970068771821;5841,998981332645;3072,8856094184202
C01;42,0;16499,609382313687;6005,603174620259;3123,55259510241
C01;43,0;16744,343497492064;6149,840967869903;3169,8833816599954
C01;44,0;16966,26168678126;6287,839701342227;3211,8948693257416
C01;45,0;17165,53406290655;6419,632997430393;3249,619262258678
C01;46,0;17342,404660219705;6545,215085634891;3283,1027587726635
C01;47,0;17497,18473713819;6664,570018654216;3312,40428341646
C01;48,0;17630,246321136627;7270,7381872876595;3337,594264971555
C01;49,0;17742,016012947275;7376,913870700025;3358,7534635210177
C01;50,0;17832,969062381486;7476,798191123814;3375,9718489391125
C01;51,0;17903,623724468413;7570,383853690626;3389,3475324479773
C01;52,0;17954,535901368436;7657,678109586933;3398,9857522744924
C01;53,0;17986,294072708497;7738,70211483913;3404,997913908531
C01;54,0;17999,514514561488;7813,470059342657;3407,5006850045893
C01;55,0;17994,836805211777;7881,970265820753;3406,6151445751234
C01;56,0;17972,91961407818;7944,308832273614;3402,465985788608
C01;57,0;17934,4367686707;8000,441003150194;3395,180771402362
