t_h;Natural em Estrela;Afluente ao reservatório;Efluente (comportas);Resultante em Estrela
0;578,496875412793;486,413580246914;0;92,0832951658792
1;583,183245362718;490,353988713386;773,252419200871;866,081675850203
2;613,499419461842;515,84453051177;773,192877484418;870,847766434491
3;688,789492556093;579,150168912485;773,136419727943;882,77574337155
4;822,578849060334;691,643360599515;773,089251159039;904,024739619859
5;1023,57761357744;860,647780207152;773,060465911061;935,990299281347
6;1296,54837259346;1090,16792083186;773,061110878092;979,441562639687
7;1643,05410885456;1381,51797459073;773,103411990194;1034,63954625402
8;2062,10058458005;1733,86196331503;773,200140195749;1101,43876146077
9;2550,68587489897;2144,67579899983;773,364097448164;1179,3741733473
10;3104,26837256778;2610,14079301726;773,607705682766;1267,73528523329
11;3717,1633443735;3125,47708993092;773,942684116909;1365,62893855949
12;4382,87700524532;3685,22456475156;774,379802222318;1472,03224271608
13;5094,38607581848;4283,47788141587;774,928697431066;1585,83689183367
14;5844,36989197162;4914,08165586493;775,597748080599;1705,88598418729
15;6625,40133067176;5570,79099091958;776,393993317354;1831,00433306953
16;7430,102096221;6247,40204455568;777,323092700138;1960,02314436546
17;8251,26726646627;6937,85675124368;778,389319108414;2091,799834331
18;9081,96342223881;7636,32533145572;779,595579297759;2225,23367008085
19;9915,60416847022;8337,26979157019;780,943457081565;2359,2778339816
20;10746,0063959574;9035,4912300677;782,43327467634;2492,94844056601
21;11567,4302230758;9726,16342144939;784,064168245415;2625,33096987186
22;12374,6051918499;10404,8548424997;785,834174125952;2755,58452347613
23;13162,74496814;11067,5410325447;787,740322636881;2882,9442582321
24;13927,5525072;11710,6089367725;789,778736747798;3006,72230717527
25;14665,2173897817;12330,8546663678;791,837741455123;3126,20046486905
26;15372,4068069701;12925,4759183527;793,996088456378;3240,92697707375
27;16046,2514709992;13492,0601290744;972,684384922538;3526,87572684741
28;16684,327551699;14028,5692859504;1351,79916034698;4007,55742609567
29;17284,6355814888;14533,3221902987;1858,93100841527;4610,24439960545
30;17845,5771337606;15004,9748479817;2465,27735100363;5305,87963678255
31;18365,9299580731;15442,4995625012;3149,2985243753;6072,72891994716
32;18844,8221490164;15845,1632155812;3242,75720164609;6242,41613508137
33;19281,7058322876;16212,5051418098;3242,75720164609;6311,95789212388
34;19676,3307699788;16544,3149353547;3242,75720164609;6374,77303627018
35;20028,7182160283;16840,6104670197;3242,75720164609;6430,86495065463
36;20339,1352910273;17101,6163379889;3242,75720164609;6480,2761546845
37;20608,0700920817;17327,742951621;3242,75720164609;6523,08434210677
38;20836,2077072317;17519,5663458182;3242,75720164609;6559,39856305967
39;21024,4072642064;17677,8088950862;3242,75720164609;6589,35557076627
40;21173,6801092631;17803,3209627977;3242,75720164609;6613,11634811152
41;21285,1691828678;17897,0635597854;3242,75720164609;6630,86282472851
42;21360,129634397;17960,0920447348;3242,75720164609;6642,79479130829
43;21399,9106973536;17993,5408844454;3242,75720164609;6649,12701455431
44;21405,9388292993;17998,6094774949;3242,75720164609;6650,08655345046
45;21379,702106393;17976,5490328059;3242,75720164609;6645,91027523315
46;21322,7358506977;17928,650484752;3242,75720164609;6636,84256759179
47;21236,6094589504;17856,2334184823;3242,75720164609;6623,13324211413
48;21122,9143939664;17760,6359728163;3242,75720164609;6605,03562279621
49;20983,2532940177;17643,205683156;3242,75720164609;6582,80481250775
50;20819,2301511364;17505,2912231767;3242,75720164609;6556,69612960571
51;20632,4415061515;17348,2350014094;3242,75720164609;6526,96370638821
52;20424,4686061781;17173,3665670757;3242,75720164609;6493,85924074855
53;20196,8704690848;16981,9967785317;3242,75720164609;6457,63089219919
54;19951,1777990258;16775,4126873064;3242,75720164609;6418,52231336549
55;19688,8876973132;16554,8730908802;3242,75720164609;6376,77180807909
56;19411,4591136091;16321,604707942;3242,75720164609;6332,61160731317
57;19120,3089835537;16076,7989308174;3242,75720164609;6286,26725438241
58;18816,8090004168;15821,6091109982;3242,75720164609;6237,9570910646
59;18502,2829701016;15557,1483351691;3242,75720164609;6187,89183657866
60;18178,0047007861;15284,4876507678;3242,75720164609;6136,27425166439
61;17845,1963805874;15004,6547018892;3242,75720164609;6083,29888034427
62;17505,0273988544;14718,6327381999;3242,75720164609;6029,15186230057
63;17158,6135689761;14427,3599614578;3242,75720164609;5974,01080916445
64;16807,0167129163;14131,7291761789;3278,44537236166;5953,73290909899
65;16451,2445700149;13832,5877129562;4694,06139567532;7312,71825273404
66;16092,2509949173;13530,7375948821;5819,08765377389;8380,60105380913
67;15730,9364117719;13226,935919449;6705,07795902665;9209,07845134951
68;15368,1484940767;12921,8954301801;7394,26489311497;9840,51795701152
69;15004,6830417266;12616,2852540707;7921,28785320027;10309,6856408562
70;14641,2850289164;12310,7317826893;8314,59838960738;10645,1516358344
71;14278,649798579;12005,8196764897;8597,60225171795;10870,4323738073
72;13917,4243809768;11702,0929735118;8789,58708795535;11004,9184954203
73;13558,2089159128;11400,0562852114;8906,47594433884;11064,6285750402
74;13201,5581597904;11100,1760636295;8961,43936936892;11062,8214655299
75;12847,983060413;10802,8819255209;8965,39285886352;11010,4939937556
76;12497,9523839902;10508,5680203791;8927,40137367918;10916,7857372903
77;12151,8943802982;10217,5944305412;8855,00856527097;10789,308515028
78;11810,1984733314;9930,28859272682;8754,50499849617;10634,4148791008
79;11473,2169660814;9646,94673145655;8631,1469381932;10457,417172818
80;11141,2667492974;9367,83529581671;8489,33505546762;10262,7665089483
81;10814,6310052078;9093,19239198795;8332,76061843742;10054,1992316573
82;10493,5608982332;8823,22920483617;8164,52528305744;9834,85697645446
83;10178,2772456925;8558,13140268088;7987,23942856648;9607,38527157812
84;9868,97216239981;8298,06052011022;7803,10303647568;9374,01467876527
85;9565,8106738747;8043,15531440577;8170,60791725799;9693,26327672693
86;9268,93229364874;7793,53309177825;7918,34420309201;9393,7434049625
87;8978,45256084364;7549,29100019898;7671,41204598862;9100,57360663328
88;8694,46453483242;7310,50728614554;7429,89914317226;8813,85639185913
89;8417,04024437177;7077,24251306594;7193,87489960574;8533,67263091157
90;8146,23208911882;6849,54073980631;6963,39162643612;8260,08297574863
91;7882,07419191977;6627,43065764658;6738,48569872644;7993,12923299964
92;7624,58370068623;6410,92668494824;6519,17867129741;7732,8356870354
93;7373,76203905938;6200,03001874181;6305,47835184502;7479,2103721626
94;7129,5961054065;5994,72964287084;6097,37983080633;7232,24629334199
95;6892,05942000081;5795,00329256736;5894,8664677191;6991,92259515256
96;6661,11322050762;5600,81837556198;5697,91083406467;6758,20567901031
97;6436,7075061396;5412,1328500339;5506,47561279794;6531,05026890364
