municipio;area_mun_km2;inund_sem_km2;inund_com_km2;reducao_km2;reducao_pct;prof_media_sem_m;prof_media_com_m
Venâncio Aires;772,6;55,63;55,01;0,61;1,1;2,29;1,77
Taquari;350,0;43,12;41,97;1,15;2,7;6,02;4,46
Estrela;185,0;32,05;26,0;6,05;18,9;7,11;5,53
Cruzeiro do Sul;155,1;30,19;29,19;1,01;3,3;6,13;4,24
Arroio do Meio;157,1;25,89;17,41;8,47;32,7;6,54;5,4
Roca Sales;208,1;22,31;12,2;10,1;45,3;8,88;6,61
Bom Retiro do Sul;102,5;21,16;19,61;1,55;7,3;6,8;4,93
Lajeado;91,2;13,42;10,88;2,53;18,9;11,21;8,75
Colinas;60,7;12,95;8,07;4,88;37,7;6,53;5,15
Muçum;111,2;12,1;8,31;3,79;31,3;10,59;7,17
Encantado;140,0;10,55;6,07;4,48;42,5;8,05;6,57
Marques de Souza;125,7;9,06;9,06;0,0;0,0;4,39;4,39
Travesseiro;80,7;6,34;6,34;0,0;0,0;4,28;4,28
Bom Princípio;88,7;1,67;1,67;0,0;0,0;1,18;1,18
Mato Leitão;46,8;0,29;0,29;0,0;0,0;0,71;0,71
Santa Clara do Sul;86,4;0,08;0,08;0,0;0,0;0,6;0,6
