municipio;area_mun_km2;inund_sem_km2;inund_com_km2;reducao_km2;reducao_pct;prof_media_sem_m;prof_media_com_m
Venâncio Aires;772,6;54,59;53,89;0,7;1,3;2,19;1,68
Taquari;350,0;42,78;41,49;1,29;3,0;5,71;4,18
Estrela;185,0;30,77;24,6;6,17;20,1;6,9;5,3
Cruzeiro do Sul;155,1;29,96;28,72;1,24;4,1;5,8;3,94
Arroio do Meio;157,1;24,46;15,44;9,02;36,9;6,4;5,34
Roca Sales;208,1;21,56;12,22;9,34;43,3;8,53;7,25
Bom Retiro do Sul;102,5;20,91;19,31;1,61;7,7;6,45;4,6
Lajeado;91,2;12,82;10,16;2,66;20,8;10,89;8,44
Colinas;60,7;12,53;7,27;5,26;42,0;6,27;5,01
Muçum;111,2;11,67;10,28;1,39;11,9;10,23;9,16
Encantado;140,0;10,02;5,71;4,32;43,1;7,82;6,2
Marques de Souza;125,7;8,55;8,55;0,0;0,0;4,28;4,28
Travesseiro;80,7;5,8;5,8;0,0;0,0;4,28;4,28
Bom Princípio;88,7;1,62;1,62;0,0;0,0;1,13;1,13
Mato Leitão;46,8;0,28;0,28;0,0;0,0;0,68;0,68
Santa Clara do Sul;86,4;0,08;0,08;0,0;0,0;0,56;0,56
