cenario;trecho;area_km2;Q_m3s;h_m;z_talvegue_m;z_linha_dagua_m;declividade;n_manning
sem_barragem;0;150,8;262;0,66;69,5;70,2;0,0803299993276596;0,07
sem_barragem;1;151,1;263;0,19;69,0;69,2;0,10478000342845917;0,069
sem_barragem;2;151,5;263;1,23;53,5;54,7;0,0850600004196167;0,065
sem_barragem;3;151,9;264;1,51;52,5;54,0;0,05452999845147133;0,065
sem_barragem;4;152,2;264;1,2;64,9;66,1;0,08060000091791153;0,065
sem_barragem;5;152,4;264;0,86;50,0;50,9;0,13050000369548798;0,067
sem_barragem;6;152,9;265;0,66;152,2;152,9;0,12737999856472015;0,07
sem_barragem;7;153,4;266;0,8;15,3;16,1;0,12230999767780304;0,062
sem_barragem;8;153,9;267;0,46;100,7;101,1;0,21484999358654022;0,06
sem_barragem;9;154,3;267;0,6;52,6;53,2;0,20670999586582184;0,068
sem_barragem;10;154,5;267;0,69;98,5;99,2;0,2082200050354004;0,061
sem_barragem;11;154,9;268;0,28;98,9;99,2;0,1975799947977066;0,062
sem_barragem;12;155,5;269;1,08;136,2;137,2;0,1705400049686432;0,064
sem_barragem;13;156,1;270;0,91;138,4;139,3;0,16705000400543213;0,062
sem_barragem;14;156,8;271;0,29;138,2;138,5;0,18880000710487366;0,067
sem_barragem;15;157,8;272;0,41;51,3;51,7;0,18116000294685364;0,064
sem_barragem;16;158,4;273;0,59;49,9;50,5;0,1726199984550476;0,064
sem_barragem;17;158,8;274;0,18;87,2;87,4;0,17219999432563782;0,061
sem_barragem;18;159,1;274;0,52;43,7;44,2;0,16009999811649323;0,064
sem_barragem;19;159,4;275;0,54;158,3;158,8;0,15703000128269196;0,063
sem_barragem;20;159,8;275;0,38;23,7;24,1;0,16043999791145325;0,061
sem_barragem;21;159,9;275;0,65;12,6;13,3;0,11467999964952469;0,055
sem_barragem;22;160,7;277;0,52;11,8;12,3;0,10593999922275543;0,067
sem_barragem;23;161,1;277;0,85;47,6;48,5;0,10724999755620956;0,067
sem_barragem;24;161,9;278;0,7;47,5;48,2;0,08433999866247177;0,06
sem_barragem;25;162,3;279;0,79;112,3;113,1;0,10531000047922134;0,067
sem_barragem;26;162,7;280;0,66;51,6;52,3;0,09782999753952026;0,053
sem_barragem;27;162,9;280;0,52;94,0;94,6;0,09724000096321106;0,057
sem_barragem;28;163,5;281;0,55;44,4;44,9;0,06488999724388123;0,059
sem_barragem;29;164,2;282;1,48;45,8;47,3;0,03791999816894531;0,066
sem_barragem;30;164,8;283;1,28;36,2;37,5;0,0385500006377697;0,062
sem_barragem;31;165,7;284;0,05;34,2;34,3;0,05452999845147133;0,066
sem_barragem;32;166,5;285;0,59;23,3;23,9;0,054329998791217804;0,053
sem_barragem;33;167,0;286;0,74;25,7;26,4;0,055229999125003815;0,055
sem_barragem;34;167,9;287;0,51;64,6;65,1;0,2530499994754791;0,063
sem_barragem;35;168,7;288;0,67;115,0;115,7;0,05528999865055084;0,067
sem_barragem;36;170,7;291;0,7;107,7;108,4;0,05618999898433685;0,069
sem_barragem;37;171,6;292;0,62;61,2;61,9;0,06932999938726425;0,067
sem_barragem;38;172,4;294;1,21;61,0;62,2;0,03443000093102455;0,064
sem_barragem;39;173,3;295;0,65;24,1;24,7;0,14993000030517578;0,062
sem_barragem;40;174,5;297;0,24;22,1;22,4;0,2887499928474426;0,055
sem_barragem;41;175,1;297;0,38;330,5;330,9;0,294869989156723;0,058
sem_barragem;42;178,9;303;0,27;58,7;58,9;0,04613000154495239;0,056
sem_barragem;43;180,7;306;1,13;8,5;9,6;0,009270000271499157;0,062
sem_barragem;44;181,4;307;0,72;56,1;56,8;0,04433999955654144;0,058
sem_barragem;45;182,3;308;0,23;54,4;54,6;0,14889000356197357;0,067
sem_barragem;46;182,5;308;0,57;22,0;22,6;0,1526000052690506;0,058
sem_barragem;47;183,0;309;0,29;22,5;22,7;0,15394000709056854;0,057
sem_barragem;48;183,4;309;0,93;22,7;23,6;0,021199999377131462;0,067
sem_barragem;49;183,5;310;0,8;7,2;8,0;0,15025000274181366;0,044
sem_barragem;50;183,5;310;1,22;30,5;31,7;0,022220000624656677;0,053
sem_barragem;51;184,5;311;0,68;28,6;29,3;0,13583000004291534;0,064
sem_barragem;52;185,1;312;0,22;47,7;47,9;0,13606999814510345;0,063
sem_barragem;53;185,5;313;0,63;23,6;24,2;0,0246799997985363;0,05
sem_barragem;54;186,3;314;0,64;109,1;109,7;0,25501999258995056;0,065
sem_barragem;55;188,4;317;0,71;50,6;51,3;0,12755000591278076;0,062
sem_barragem;56;189,7;319;0,24;48,6;48,8;0,15211999416351318;0,066
sem_barragem;57;190,9;320;0,51;35,0;35,6;0,15027999877929688;0,054
sem_barragem;58;191,0;320;0,84;44,6;45,5;0,1311199963092804;0,058
sem_barragem;59;191,6;321;0,37;30,2;30,6;0,1477700024843216;0,061
sem_barragem;60;192,4;322;1,02;178,8;179,8;0,1428000032901764;0,059
sem_barragem;61;192,9;323;0,62;162,7;163,3;0,1271200031042099;0,063
sem_barragem;62;193,3;324;0,67;150,7;151,4;0,11729999631643295;0,06
sem_barragem;63;194,1;325;0,6;23,5;24,1;0,10685999691486359;0,067
sem_barragem;64;194,5;325;1,63;50,4;52,0;0,005179999861866236;0,056
sem_barragem;65;195,0;326;1,02;48,7;49,7;0,005369999911636114;0,045
sem_barragem;66;199,8;333;0,7;42,7;43,4;0,10350000113248825;0,067
sem_barragem;67;201,7;336;1,57;39,4;40,9;0,003869999898597598;0,062
sem_barragem;68;204,9;340;0,86;37,0;37,8;0,026340000331401825;0,066
sem_barragem;69;205,2;341;0,53;36,0;36,5;0,02751999907195568;0,067
sem_barragem;70;205,5;341;0,5;30,0;30,5;0,02597000077366829;0,055
sem_barragem;71;206,4;342;1,22;101,5;102,7;0,05349000170826912;0,063
sem_barragem;72;207,3;344;0,47;35,6;36,1;0,07216999679803848;0,062
sem_barragem;73;207,9;344;0,56;97,1;97,7;0,07537999749183655;0,065
sem_barragem;74;208,8;346;0,53;21,8;22,4;0,06937000155448914;0,059
sem_barragem;75;210,3;348;0,61;16,4;17,0;0,06994999945163727;0,065
sem_barragem;76;210,6;348;0,35;33,7;34,1;0,0684100016951561;0,068
sem_barragem;77;210,8;348;0,55;22,0;22,5;0,06606999784708023;0,061
sem_barragem;78;211,2;349;0,88;21,0;21,9;0,018959999084472656;0,064
sem_barragem;79;211,9;350;1,34;20,2;21,5;0,01785999909043312;0,065
sem_barragem;80;212,2;350;1,24;15,7;16,9;0,019780000671744347;0,066
sem_barragem;81;213,5;352;1,34;30,9;32,2;0,012810000218451023;0,064
sem_barragem;82;214,1;353;2,61;26,5;29,1;0,00570000009611249;0,068
sem_barragem;83;215,0;354;0,82;23,9;24,7;0,008390000090003014;0,064
sem_barragem;84;216,4;356;2,17;25,0;27,2;0,008559999987483025;0,062
sem_barragem;85;217,2;357;0,17;25,1;25,3;0,06443999707698822;0,064
sem_barragem;86;218,5;359;0,78;86,3;87,0;0,05770999938249588;0,068
sem_barragem;87;221,3;363;0,28;26,4;26,7;0,08189000189304352;0,064
sem_barragem;88;221,7;364;0,94;87,5;88,5;0,04816000163555145;0,06
sem_barragem;89;222,4;365;0,55;84,2;84,7;0,056620001792907715;0,06
sem_barragem;90;223,7;366;0,72;74,4;75,1;0,05697000026702881;0,052
sem_barragem;91;224,7;368;0,63;81,3;81,9;0,042490001767873764;0,061
sem_barragem;92;225,4;369;1,15;88,5;89,7;0,05671999976038933;0,065
sem_barragem;93;226,3;370;0,48;88,1;88,6;0,05610999837517738;0,065
sem_barragem;94;227,1;371;0,35;41,8;42,1;0,054409999400377274;0,053
sem_barragem;95;227,8;372;0,84;43,0;43,8;0,03798000141978264;0,061
sem_barragem;96;228,5;373;1,0;42,0;43,0;0,05414000153541565;0,057
sem_barragem;97;230,9;376;0,57;92,7;93,3;0,06923999637365341;0,067
sem_barragem;98;233,4;380;0,45;19,8;20,2;0,021570000797510147;0,067
sem_barragem;99;235,0;382;1,74;17,7;19,4;0,007930000312626362;0,065
sem_barragem;100;235,2;382;0,82;17,3;18,1;0,06718999892473221;0,06
