eixo;area_km2;cota_eixo_m;altura_max_m;volume_max_hm3;area_alagada_km2;custo_MRS;restricao;potencia_restr_MW;eixo_independente;classe_interferencia;ordem_prioridade;nao_interferencia_comprovada;recomendacao;observacao_metodologica
E02;3591,2;293,0;22,5;31,6;2,48;52,0;José Dinarte Lepek (estudo);0,0;True;candidato_prioritario_baixa_interferencia;1;não;"validar em campo e no modelo; restrição listada como estudo";"triagem baseada na restrição de cota e na topologia atual; não substitui estudo de remanso"
E01;2548,8;72,5;56,4;129,1;5,47;227,0;Vale do Leite (operacao);6,4;True;candidato_independente_com_conflito_operacional;2;não;só avançar após confirmar remanso e regra operativa da usina;"triagem baseada na restrição de cota e na topologia atual; não substitui estudo de remanso"
E04;7497,5;239,0;27,3;124,8;7,46;122,0;Jararaca (operacao);28,0;True;candidato_independente_com_conflito_operacional;2;não;só avançar após confirmar remanso e regra operativa da usina;"triagem baseada na restrição de cota e na topologia atual; não substitui estudo de remanso"
E12;15759,8;47,0;55,5;977,7;35,91;577,0;14 de Julho (operacao);100,0;False;cascata_critica_alta_interferencia;3;não;manter apenas como cenário condicionado à cascata existente;"triagem baseada na restrição de cota e na topologia atual; não substitui estudo de remanso"
E10;12778,1;71,5;59,0;480,9;20,68;437,0;Monte Claro (operacao);130,0;False;cascata_critica_alta_interferencia;3;não;manter apenas como cenário condicionado à cascata existente;"triagem baseada na restrição de cota e na topologia atual; não substitui estudo de remanso"
E11;15456,9;57,5;45,0;400,3;17,19;322,0;14 de Julho (operacao);100,0;False;cascata_critica_alta_interferencia;3;não;manter apenas como cenário condicionado à cascata existente;"triagem baseada na restrição de cota e na topologia atual; não substitui estudo de remanso"
E09;12330,0;106,0;63,3;377,3;13,26;421,0;Foz do Prata (operacao);49,4;False;interferencia_operacional_a_confirmar;4;não;confirmar conflito com a usina indicada antes de dimensionar;"triagem baseada na restrição de cota e na topologia atual; não substitui estudo de remanso"
E08;11950,5;148,0;21,3;43,7;3,37;63,0;Foz do Prata (operacao);49,4;False;interferencia_operacional_a_confirmar;4;não;confirmar conflito com a usina indicada antes de dimensionar;"triagem baseada na restrição de cota e na topologia atual; não substitui estudo de remanso"
E07;8173,5;149,5;15,9;18,6;1,79;32,0;Monte Cuco (operacao);30,0;False;interferencia_operacional_a_confirmar;4;não;confirmar conflito com a usina indicada antes de dimensionar;"triagem baseada na restrição de cota e na topologia atual; não substitui estudo de remanso"
E06;8158,8;149,5;15,9;13,7;1,42;35,0;Monte Cuco (operacao);30,0;False;interferencia_operacional_a_confirmar;4;não;confirmar conflito com a usina indicada antes de dimensionar;"triagem baseada na restrição de cota e na topologia atual; não substitui estudo de remanso"
E03;3771,8;149,5;15,9;3,6;0,39;14,0;Monte Cuco (operacao);30,0;False;interferencia_operacional_a_confirmar;4;não;confirmar conflito com a usina indicada antes de dimensionar;"triagem baseada na restrição de cota e na topologia atual; não substitui estudo de remanso"
E05;7922,8;167,0;-1,6;;;;Monte Cuco (operacao);30,0;False;inviavel;99;não;eliminar da carteira;"triagem baseada na restrição de cota e na topologia atual; não substitui estudo de remanso"
