alternativa_antas;eixos_antas;cenario_forqueta;eixos_forqueta;regra_operativa;fisicamente_admissivel;pico_natural_estrela_m3s;pico_resultante_estrela_m3s;reducao_pico_pct;acima_limiar_preliminar_m3s;razao_limiar_preliminar;reducao_em_relacao_evento_2023_pct;area_controlada_antas_km2;area_controlada_forqueta_km2;volume_usado_antas_hm3;volume_usado_forqueta_hm3;volume_usado_total_hm3;algum_reservatorio_saturou;observacao
SEM_OBRA;-;SEM_FORQUETA;-;seca;True;16903,1;16903,1;0,0;12903,1;4,226;2,07;0,0;0,0;0,0;0,0;0,0;False;
SEM_OBRA;-;SEM_FORQUETA;-;comportas;True;16903,1;16903,1;0,0;12903,1;4,226;2,07;0,0;0,0;0,0;0,0;0,0;False;
SEM_OBRA;-;SEM_FORQUETA;-;convencional;True;16903,1;16903,1;0,0;12903,1;4,226;2,07;0,0;0,0;0,0;0,0;0,0;False;
SEM_OBRA;-;FQ1;FQ1;seca;True;16903,1;17012,0;-0,64;13012,0;4,253;1,44;0,0;2350,1;0,0;212,3;212,3;False;
SEM_OBRA;-;FQ1;FQ1;comportas;True;16903,1;16920,0;-0,1;12920,0;4,23;1,98;0,0;2350,1;0,0;142,8;142,8;True;
SEM_OBRA;-;FQ1;FQ1;convencional;True;16903,1;16920,0;-0,1;12920,0;4,23;1,98;0,0;2350,1;0,0;27,8;27,8;True;
SEM_OBRA;-;FQ2;FQ2;seca;True;16903,1;16918,9;-0,09;12918,9;4,23;1,98;0,0;2204,2;0,0;148,4;148,4;True;
SEM_OBRA;-;FQ2;FQ2;comportas;True;16903,1;16918,9;-0,09;12918,9;4,23;1,98;0,0;2204,2;0,0;89,7;89,7;True;
SEM_OBRA;-;FQ2;FQ2;convencional;True;16903,1;16918,9;-0,09;12918,9;4,23;1,98;0,0;2204,2;0,0;16,6;16,6;True;
SEM_OBRA;-;FQ1+FQ2_INVIAVEL;FQ1+FQ2;seca;False;16903,1;17012,0;-0,64;13012,0;4,253;1,44;0,0;2350,1;0,0;229,5;229,5;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
