dano_ref_MRS;alternativa;reducao_pct;custo_MRS;VPL_liq;BC_novo
500;B1-90m-seca;52,7;1431;-821;0,49
500;B1-80m-seca;23,4;1125;-583;0,54
500;B1-100m-seca;54;1790;-1196;0,41
500;B3-100m-seca;43,6;1568;-1065;0,4
500;B1-110m-seca;55,1;2194;-1630;0,34
500;B3-90m-seca;22,1;1250;-786;0,44
500;B3-100m+B2-30m-seca;43,6;1639;-1144;0,38
500;B3-90m+B2-30m-seca;21,8;1320;-867;0,42
1000;B1-90m-seca;52,7;1431;-31;0,98
1000;B1-80m-seca;23,4;1125;101;1,08
1000;B1-100m-seca;54;1790;-375;0,81
1000;B3-100m-seca;43,6;1568;-364;0,79
1000;B1-110m-seca;55,1;2194;-790;0,68
1000;B3-90m-seca;22,1;1250;-164;0,88
1000;B3-100m+B2-30m-seca;43,6;1639;-443;0,76
1000;B3-90m+B2-30m-seca;21,8;1320;-246;0,83
1500;B1-90m-seca;52,7;1431;759;1,47
1500;B1-80m-seca;23,4;1125;785;1,62
1500;B1-100m-seca;54;1790;445;1,22
1500;B3-100m-seca;43,6;1568;338;1,19
1500;B1-110m-seca;55,1;2194;49;1,02
1500;B3-90m-seca;22,1;1250;457;1,32
1500;B3-100m+B2-30m-seca;43,6;1639;257;1,14
1500;B3-90m+B2-30m-seca;21,8;1320;374;1,25
2000;B1-90m-seca;52,7;1431;1549;1,96
2000;B1-80m-seca;23,4;1125;1469;2,16
2000;B1-100m-seca;54;1790;1266;1,63
2000;B3-100m-seca;43,6;1568;1039;1,59
2000;B1-110m-seca;55,1;2194;889;1,36
2000;B3-90m-seca;22,1;1250;1079;1,77
2000;B3-100m+B2-30m-seca;43,6;1639;958;1,52
2000;B3-90m+B2-30m-seca;21,8;1320;995;1,67
2500;B1-90m-seca;52,7;1431;2339;2,45
2500;B1-80m-seca;23,4;1125;2153;2,7
2500;B1-100m-seca;54;1790;2086;2,03
2500;B3-100m-seca;43,6;1568;1740;1,99
2500;B1-110m-seca;55,1;2194;1729;1,7
2500;B3-90m-seca;22,1;1250;1700;2,21
2500;B3-100m+B2-30m-seca;43,6;1639;1659;1,9
2500;B3-90m+B2-30m-seca;21,8;1320;1615;2,09
3500;B1-90m-seca;52,7;1431;3919;3,43
3500;B1-80m-seca;23,4;1125;3521;3,78
3500;B1-100m-seca;54;1790;3727;2,85
3500;B3-100m-seca;43,6;1568;3142;2,78
3500;B1-110m-seca;55,1;2194;3409;2,38
3500;B3-90m-seca;22,1;1250;2943;3,09
3500;B3-100m+B2-30m-seca;43,6;1639;3061;2,66
3500;B3-90m+B2-30m-seca;21,8;1320;2856;2,92
5000;B1-90m-seca;52,7;1431;6289;4,9
5000;B1-80m-seca;23,4;1125;5573;5,4
5000;B1-100m-seca;54;1790;6188;4,07
5000;B3-100m-seca;43,6;1568;5246;3,97
5000;B1-110m-seca;55,1;2194;5928;3,4
5000;B3-90m-seca;22,1;1250;4807;4,42
5000;B3-100m+B2-30m-seca;43,6;1639;5163;3,8
5000;B3-90m+B2-30m-seca;21,8;1320;4717;4,17
7500;B1-90m-seca;52,7;1431;10239;7,36
7500;B1-80m-seca;23,4;1125;8993;8,1
7500;B1-100m-seca;54;1790;10290;6,1
7500;B3-100m-seca;43,6;1568;8752;5,96
7500;B1-110m-seca;55,1;2194;10127;5,1
7500;B3-90m-seca;22,1;1250;7914;6,62
7500;B3-100m+B2-30m-seca;43,6;1639;8667;5,7
7500;B3-90m+B2-30m-seca;21,8;1320;7819;6,26
10000;B1-90m-seca;52,7;1431;14189;9,81
10000;B1-80m-seca;23,4;1125;12413;10,8
10000;B1-100m-seca;54;1790;14392;8,14
10000;B3-100m-seca;43,6;1568;12258;7,94
10000;B1-110m-seca;55,1;2194;14326;6,8
10000;B3-90m-seca;22,1;1250;11021;8,83
10000;B3-100m+B2-30m-seca;43,6;1639;12171;7,6
10000;B3-90m+B2-30m-seca;21,8;1320;10921;8,34
