altura_m;frac_NA;NA_normal_m;cota_NA_normal;cota_crista;V_util_hm3;V_espera_hm3;area_alagada_km2;pico_2024;reducao_pct;saturou;P_MW;E_GWh;receita_MRS_ano;benef_dano_MRS_ano;custo_MRS;VPL_liq_MRS;BC
60;0,3;18;65;110;74;1105;45,31;21216;-17,9;TRUE;106,9;425,6;106,4;-140,9;878;-1533;-0,55
60;0,45;27;74;110;201;1019;45,31;21395;-18,9;TRUE;160,3;638,5;159,6;-166,5;878;-1098;-0,11
60;0,6;36;83;110;393;874;45,31;21404;-18,9;TRUE;213,8;851,3;212,8;-182,6;878;-513;0,48
60;0,7;42;89;110;551;735;45,31;21404;-18,9;TRUE;249,4;993,2;248,3;-184,7;878;14;1,01
60;0,8;48;95;110;728;574;45,31;21404;-18,9;TRUE;285,1;1135;283,8;-184,7;878;573;1,58
60;0,9;54;101;110;925;394;45,31;21404;-18,9;TRUE;320,7;1276,9;319,2;-184,7;878;1132;2,14
70;0,3;21;68;120;106;1580;54,22;19097;-6,1;TRUE;124,7;496,6;124,2;33;1170;1160;1,88
70;0,45;31,5;78,5;120;290;1456;54,22;20073;-11,5;TRUE;187,1;744,9;186,2;-43,4;1170;935;1,71
70;0,6;42;89;120;551;1234;54,22;21110;-17,3;TRUE;249,4;993,2;248,3;-130,6;1170;537;1,41
70;0,7;49;96;120;759;1045;54,22;21395;-18,9;TRUE;291;1158,7;289,7;-172,7;1170;526;1,4
70;0,8;56;103;120;997;828;54,22;21404;-18,9;TRUE;332,6;1324,2;331;-184,5;1170;993;1,75
70;0,9;63;110;120;1296;577;54,22;21404;-18,9;TRUE;374,1;1489,7;372,4;-184,7;1170;1642;2,25
80;0,3;24;71;130;149;2138;62,55;14758;18;TRUE;142,5;567,5;141,9;198,4;1507;3667;3,16
80;0,45;36;83;130;393;1957;62,55;16348;9,2;TRUE;213,8;851,3;212,8;139,1;1507;3850;3,27
80;0,6;48;95;130;728;1657;62,55;18828;-4,6;TRUE;285,1;1135;283,8;24,7;1507;3164;2,86
80;0,7;56;103;130;997;1412;62,55;20485;-13,8;TRUE;332,6;1324,2;331;-85,6;1507;2171;2,28
80;0,8;64;111;130;1344;1122;62,55;21360;-18,7;TRUE;380,1;1513,4;378,4;-169,6;1507;1593;1,94
80;0,9;72;119;130;1765;740;62,55;21404;-18,9;TRUE;427,6;1702,6;425,6;-184,7;1507;2101;2,24
90;0,3;27;74;140;201;2769;70,97;9613;46,6;FALSE;160,3;638,5;159,6;285,7;1898;4882;3,28
90;0,45;40,5;87,5;140;509;2523;70,97;11903;33,9;TRUE;240,5;957,7;239,4;261,4;1898;5756;3,69
90;0,6;54;101;140;925;2144;70,97;15007;16,6;TRUE;320,7;1276,9;319,2;184,1;1898;5796;3,71
90;0,7;63;110;140;1296;1828;70,97;17981;0,1;TRUE;374,1;1489,7;372,4;78,8;1898;4974;3,33
90;0,8;72;119;140;1765;1408;70,97;20668;-14,8;TRUE;427,6;1702,6;425,6;-105,4;1898;2910;2,36
90;0,9;81;128;140;2301;910;70,97;21404;-18,9;TRUE;481;1915,4;478,9;-184,5;1898;2502;2,17
100;0,3;30;77;150;256;3485;79,83;6650;63,1;FALSE;178,2;709,4;177,3;297,8;2350;4844;2,83
100;0,45;45;92;150;635;3163;79,83;6650;63,1;FALSE;267,2;1064,1;266;296,6;2350;6222;3,35
100;0,6;60;107;150;1153;2699;79,83;10656;40,8;TRUE;356,3;1418,8;354,7;277,3;2350;7316;3,77
100;0,7;70;117;150;1652;2266;79,83;14214;21;TRUE;415,7;1655,3;413,8;206,3;2350;7129;3,69
100;0,8;80;127;150;2236;1724;79,83;19097;-6,1;TRUE;475,1;1891,7;472,9;5,7;2350;4897;2,85
100;0,9;90;137;150;2904;1098;79,83;21404;-18,9;TRUE;534,5;2128,2;532;-179,8;2350;2906;2,1
110;0,3;33;80;160;323;4290;90,31;6650;63,1;FALSE;196;780,3;195,1;297,8;2873;4534;2,4
110;0,45;49,5;96,5;160;775;3889;90,31;6650;63,1;FALSE;294;1170,5;292,6;297,8;2873;6071;2,88
110;0,6;66;113;160;1444;3310;90,31;6650;63,1;FALSE;391,9;1560,7;390,2;297,4;2873;7602;3,35
110;0,7;77;124;160;2055;2746;90,31;10378;42,3;TRUE;457,3;1820,8;455,2;279,5;2873;8344;3,58
110;0,8;88;135;160;2766;2080;90,31;16177;10,1;TRUE;522,6;2080,9;520,2;145,6;2873;7259;3,24
110;0,9;99;146;160;3580;1314;90,31;21216;-17,9;TRUE;587,9;2341;585,2;-150,7;2873;3614;2,12
120;0,3;36;83;170;393;5186;100,78;6650;63,1;FALSE;213,8;851,3;212,8;297,8;3460;4153;2,07
120;0,45;54;101;170;925;4705;100,78;6650;63,1;FALSE;320,7;1276,9;319,2;297,8;3460;5830;2,5
120;0,6;72;119;170;1765;3969;100,78;6650;63,1;FALSE;427,6;1702,6;425,6;297,8;3460;7508;2,93
120;0,7;84;131;170;2495;3289;100,78;6650;63,1;FALSE;498,8;1986,3;496,6;297,2;3460;8616;3,21
120;0,8;96;143;170;3347;2488;100,78;12524;30,4;TRUE;570,1;2270,1;567,5;249,8;3460;8986;3,31
120;0,9;108;155;170;4335;1559;100,78;20485;-13,8;TRUE;641,4;2553,8;638,5;-88,8;3460;4768;2,22
