categoria;nome;n_pontos;cota_min_m;cota_max_m;area_monotona;volume_monotono;cota_regular;erro_rel_mediano_dv_area;erro_rel_maximo_dv_area
Eixo novo sem reservatório existente;E01;111;82,5;192,5;True;True;True;0,0028377721674395333;0,03129046589501934
Eixo novo sem reservatório existente;E02;111;303,0;413,0;True;True;True;0,00294867862834974;0,04230111271227674
Eixo novo sem reservatório existente;E03;111;159,5;269,5;True;True;True;0,005720769607078053;0,05532929352589145
Eixo novo sem reservatório existente;E04;111;249,0;359,0;True;True;True;0,002250024363179678;0,022146833890777855
Eixo novo sem reservatório existente;E05;111;177,0;287,0;True;True;True;0,005011112587206514;0,19907676723730539
Eixo novo sem reservatório existente;E06;111;159,5;269,5;True;True;True;0,0044132115186709345;0,15462261920640843
Eixo novo sem reservatório existente;E07;111;159,5;269,5;True;True;True;0,004122266829613263;0,14358841666958028
Eixo novo sem reservatório existente;E08;111;158,0;268,0;True;True;True;0,0028417457647727535;0,08784679718902112
Eixo novo sem reservatório existente;E09;111;116,0;226,0;True;True;True;0,0012921723714666945;0,05198407120697095
Eixo novo sem reservatório existente;E10;111;81,5;191,5;True;True;True;0,0020779727665027605;0,3176081267540909
Eixo novo sem reservatório existente;E11;111;67,5;177,5;True;True;True;0,0016850352527172379;0,08115341280473845
Eixo novo sem reservatório existente;E12;111;57,0;167,0;True;True;True;0,0015503788173280375;0,14673291580419812
UHE existente;14 de Julho;1107;62,37;110,00000000000354;True;True;True;5,675265991437258e-05;0,6006297531009924
UHE existente;Castro Alves;1265;187,05;246,44;True;True;True;4,628659885562093e-05;0,7729967523270164
UHE existente;Monte Claro;1328;116,88;157,2499999999908;True;True;True;2,6537097736687494e-05;0,32087746708025305
