nome;mde_fonte;potencia_MW;V_submerso_hm3;V_deplec_1m_hm3;V_deplec_2m_hm3;V_deplec_3m_hm3;V_deplec_5m_hm3;V_deplec_8m_hm3;V_deplec_10m_hm3;V_deplec_15m_hm3
14 de Julho;anadem_taquari_31982.tif;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Monte Claro;anadem_taquari_31982.tif;130,0;0,4;0,2;0,3;0,3;0,3;0,3;0,3;0,3
Serra dos Cavalinhos II;anadem_taquari_31982.tif;29,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Serra dos Cavalinhos I;anadem_taquari_31982.tif;25,0;2,4;0,4;0,7;1,0;1,4;1,8;1,9;1,8
Foz do Prata;anadem_taquari_31982.tif;49,4;0,1;0,0;0,1;0,1;0,1;0,1;0,1;0,1
Jararaca;anadem_taquari_31982.tif;28,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Da Ilha;anadem_taquari_31982.tif;26,0;0,4;0,2;0,3;0,3;0,3;0,3;0,3;0,3
Passo do Meio;anadem_taquari_31982.tif;30,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
Cotiporã;anadem_taquari_31982.tif;19,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Linha Emília;anadem_taquari_31982.tif;19,5;4,4;0,8;1,5;2,0;2,9;3,4;3,5;3,3
Monte Cuco;anadem_taquari_31982.tif;30,0;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1
Pezzi;anadem_taquari_31982.tif;19,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Autódromo;anadem_taquari_31982.tif;24,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
São Paulo;anadem_taquari_31982.tif;16,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Boa Fé;anadem_taquari_31982.tif;24,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Saltinho RS;anadem_taquari_31982.tif;27,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Palanquinho;anadem_taquari_31982.tif;24,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1
