nome;potencia_MW;area_drenagem_km2;cota_NA_atual_m;V_acima_1m_hm3;area_espelho_km2;V_acima_2m_hm3;V_acima_3m_hm3;V_acima_5m_hm3;V_acima_8m_hm3;V_acima_10m_hm3;V_acima_15m_hm3;V_acima_20m_hm3
14 de Julho;100,0;12609,9;104,8;4,5;5,93;11,3;18,9;35,1;62,0;81,7;136,1;197,3
Monte Claro;130,0;11965,1;133,5;0,0;0,04;0,1;0,1;0,5;1,3;2,2;5,2;14,7
Castro Alves;130,0;7590,3;236,5;0,1;0,25;0,4;2,3;10,6;26,9;38,7;71,4;110,6
Serra dos Cavalinhos II;29,0;3714,9;435,5;0,0;0,05;0,1;0,2;0,5;1,3;2,0;4,4;8,3
Serra dos Cavalinhos I;25,0;3615,4;453,5;0,0;0,04;0,1;0,1;0,4;0,9;1,3;2,9;5,1
Foz do Prata;49,4;3763,8;171,5;0,0;0,01;0,0;0,1;0,2;0,5;0,8;2,2;4,5
Jararaca;28,0;3651,3;251,5;0,0;0,09;0,3;0,9;2,1;3,9;5,3;9,0;13,6
Da Ilha;26,0;3613,2;293,0;1,2;1,22;2,4;3,8;6,9;12,8;17,3;30,2;45,7
Passo do Meio;30,0;3378,8;530,0;0,6;0,98;1,7;3,0;6,3;11,6;15,4;26,4;40,3
Cotiporã;19,5;2298,3;137,0;0,0;0,03;0,0;0,1;0,4;1,0;1,6;3,5;5,7
Linha Emília;19,5;2289,7;180,0;0,2;0,67;0,9;1,8;3,7;6,8;9,2;16,0;24,7
Monte Cuco;30,0;2123,6;131,0;0,0;0,01;0,0;0,0;0,1;0,3;0,5;1,7;3,7
Pezzi;19,0;1962,2;565,5;0,1;0,59;0,8;1,6;3,8;8,5;12,5;25,1;41,9
Autódromo;24,0;1784,7;282,0;0,0;0,38;0,4;0,8;1,7;3,2;4,4;8,2;13,1
São Paulo;16,0;1698,4;328,5;0,0;0,01;0,1;0,2;0,4;1,1;1,8;4,2;7,8
Boa Fé;24,0;1611,0;369,0;0,0;0,07;0,1;0,4;1,5;3,5;4,9;9,1;14,1
Caçador;22,5;1535,0;426,2;0,0;0,1;0,2;0,4;1,2;4,2;7,4;20,6;42,6
Saltinho RS;27,3;1198,4;533,0;0,0;0,03;0,1;0,1;0,3;1,0;1,8;4,9;10,6
Palanquinho;24,2;789,4;510,5;0,0;0,05;0,1;0,2;0,5;1,4;2,1;4,3;7,0
Criúva;23,9;670,4;660,0;0,2;0,51;0,8;1,5;3,4;6,6;9,0;15,8;23,9
